Játékos;Poszt;Státusz;Szül. év.;Mag.;Töm.;Csapat
Tyrell BELLOT-GREEN;F;Légiós;1995;201;98;Szedeák, ZTE KK
Jubrile BELO;C;Légiós;1998;205;115;Falco KC Szombathely
BENCZE Ákos, Dr.;FC;Hazai;1963;200;93;Budapesti Honvéd, Videoton, ZTE KK
BENCZE Tamás;G;Hazai;1968;194;91;Budapesti Honvéd, Kaposvári KK, ZTE KK
BENCZE Zoltán;C;Hazai;1981;212;120;Alba Fehérvár, Kecskemét, Pécsi VSK
BÉNDEK Gábor;PG;Hazai;1962;180;82;Videoton
Ramsés BENITEZ;C;Légiós;1979;208;;Falco KC Szombathely
BENKE Krisztián;SG;Hazai;1999;190;87;NKA Pécs, Pécsi VSK
BENKE Szilárd;SF;Hazai;1995;197;95;Atomerőmű SE, Falco KC Szombathely, Kaposvári KK, Szolnoki Olajbányász, ZTE KK
BENKOVICH András;GF;Hazai;1963;192;87;Budapesti Honvéd
BENŐCS Dávid;FC;Hazai;1992;200;100;Factum Sport Debrecen
BÉRCZES István;GF;Hazai;1965;191;90;Atomerőmű SE, ZTE KK
BERE Márton;GF;Hazai;1979;194;83;Hódmezővásárhely
BÉRES Gábor;FC;Hazai;1976;207;95;Alba Fehérvár, ZTE KK
BÉRES Lajos;C;Hazai;1954;200;86;Videoton
Jonas BERGSTEDT;C;Légiós;1991;211;120;Körmend, TF-Budapest
BERKICS Bence;GF;Hazai;1996;194;87;Pécsi VSK
BERKICS László;FC;Hazai;1963;203;99;Budapest SE, Budapesti Honvéd, Csepel, Szolnoki Olajbányász
BERKICS Máté;SF;Hazai;1995;195;79;Szolnoki Olajbányász
Martins BERKIS;SF;Légiós;1985;198;85;Nyíregyháza
BERTA Tibor;FC;Hazai;1959;200;89;Kaposvári Honvéd Táncsics
Zbigniew BIAŁEK;PF;Légiós;1982;202;98;Körmend
Justin BIBBINS;PG;Légiós;1996;173;68;ZTE KK
Justin BIBBS;GF;Légiós;1996;196;100;ZTE KK
Isaiah BIGELOW;F;Légiós;2000;201;90;Alba Fehérvár, ZTE KK
BIKÁDI Zoltán;C;Hazai;1987;210;110;Atomerőmű SE
BÍRÓ Bence;PF;Hazai;1991;200;90;Kaposvári KK
BÍRÓ Levente;PG;Hazai;1998;180;77;Pécsi VSK
BÍRÓ Olivér;SF;Hazai;1993;196;102;Falco KC Szombathely, Oroszlány, Pécsi VSK
James BISHOP;PG;Légiós;2000;190;88;Oroszlány
BITVAI Attila;SF;Hazai;1976;196;83;Szolnoki Olajbányász
Larry BLAIR;G;Légiós;1984;183;84;Kecskemét
Lance BLANKS;G;Légiós;1966;193;92;Alba Fehérvár
BLASKOVITS Balázs;F;Hazai;1998;196;96;Hódmezővásárhely, Kecskemét
BLASKOVITS László;F;Hazai;1994;198;104;Alba Fehérvár, Jászberény, Kaposvári KK
Zbigniew BŁASZCZAK;F;Légiós;1954;200;;ZTE KK
Trevor BLONDIN;SG;Légiós;1996;193;91;Körmend
Trevon BLUIETT;SF;Légiós;1994;198;98;Atomerőmű SE
BOCSKAY László;PG;Hazai;1963;176;70;Sopron KC
BOCSKOR Sándor;G;Hazai;1951;188;;Oroszlány
BOCZKÓ Ádám;PG;Hazai;1980;191;82;Nyíregyháza
BÓDI Ferenc;F;Hazai;1977;200;100;Alba Fehérvár, Dombóvár, Nyíregyháza, Szolnoki Olajbányász
BŐDI Krisztián;GF;Hazai;1973;194;86;Hódmezővásárhely
BÓDI Péter;C;Hazai;1972;204;93;Falco KC Szombathely, Szolnoki Olajbányász
BÓDI Tibor;;Hazai;;;;Videoton
BODNÁR Zoltán;SF;Hazai;1963;195;;Csepel
BODÓ Balázs;GF;Hazai;1998;195;86;Kaposvári KK
BÖDÖR Bence;FC;Hazai;1992;206;93;Pécsi VSK, ZTE KK
BODROGI Csaba;PG;Hazai;1965;190;88;Alba Fehérvár, ZTE KK
BODROGI Ferenc;SG;Hazai;1988;192;80;Hódmezővásárhely, MAFC
BOGDÁN Balázs;SG;Hazai;1980;193;90;Kaposvári KK, Kecskemét, Sopron KC
