Játékos;Poszt;Státusz;Szül. év.;Mag.;Töm.;Csapat
HOSSZÚ István;SF;Hazai;1961;195;92;Atomerőmű SE, Bajai SK, Budapesti Honvéd, Szolnoki Olajbányász
Amin HOT;PG;Légiós;1992;192;92;MAFC
Jozef HRUBINA;C;Légiós;1958;203;;Egri TANÉP
HUBER Csaba;PF;Hazai;1963;196;95;Alba Fehérvár, Videoton
Rickey HUCKABY;G;Légiós;1983;188;83;Salgótarjáni KSE
Darryl HUDSON;G;Légiós;1985;193;86;Falco KC Szombathely
Dorenzo HUDSON;SG;Légiós;1988;196;100;ZTE KK
Gabriel HUGHES;C;Légiós;1980;213;110;Salgótarjáni KSE
Michael HUGHES;C;Légiós;1998;203;109;Kaposvári KK
Nermin HUJDUROVIĆ;FC;Légiós;1988;206;109;Nyíregyháza
Lee HUMPHREY;G;Légiós;1984;188;87;Alba Fehérvár
Jesse HUNT;PF;Légiós;1997;201;95;Szedeák
Andrew HUNTER;F;Légiós;1979;201;100;Körmend
Jaylin HUNTER;PG;Légiós;2000;183;85;ZTE KK
Neiko HUNTER;PF;Légiós;1990;201;100;MAFC
HUSZ József;C;Hazai;1966;202;98;ZTE KK
HUSZÁR Balázs;FC;Hazai;2007;202;92;Szolnoki Olajbányász
HUTÁS László;G;Hazai;1976;188;84;Nyíregyháza
Sani IBRAHIM;C;Légiós;1982;207;113;Atomerőmű SE
Steven IDLET;FC;Légiós;1989;211;112;Atomerőmű SE
IGNÁCZ Dávid;F;Hazai;1992;197;95;Pécsi VSK
IHÁSZ Zoltán;PG;Hazai;1969;185;;Pécsi VSK
Mário IHRING;PG;Légiós;1998;192;84;Atomerőmű SE, Oroszlány
Jibrahn IKE;PG;Légiós;1981;188;86;Kaposvári KK, Körmend
IKOTITY István;;Hazai;;;;Bajai SK
Tristan IKPE;PF;Légiós;1999;198;95;ZTE KK
ILCSIK Attila;GF;Hazai;1962;192;85;Bajai SK
Nemanja ILIĆ;C;Légiós;1983;206;107;ZTE KK
ILLÉS Máté;SG;Hazai;1995;191;84;Atomerőmű SE, Oroszlány, Pécsi VSK
ILLÉSY János;G;Hazai;1966;186;75;Budapest SE, MAFC
IMRE Attila;FC;Hazai;1975;202;108;Hódmezővásárhely
Justin INGRAM;G;Légiós;1985;189;84;Factum Sport Debrecen
Anthony IRELAND;PG;Légiós;1991;178;79;Körmend
IVACS Béla;;Hazai;;;;ZTE KK
IVÁNFI Balázs;PG;Hazai;1975;178;;Kaposvári KK
IVÁNKOVICS István;;Hazai;1948;;;ZTE KK
Aleksandar IVANOVIĆ;FC;Légiós;1971;205;103;Falco KC Szombathely
Nicolai IVERSEN;PF;Légiós;1980;205;105;Dombóvár
Stojan IVKOVIĆ;C;Légiós;1966;206;112;Debreceni KK, Kaposvári KK, Pécsi VSK, Sopron KC, Szolnoki Olajbányász
IVKOVICS Milán;SF;Hazai;2003;194;88;Kecskemét
IVOSEV Tamás;PF;Honosított;1990;202;105;Debreceni EAC, Falco KC Szombathely, Kaposvári KK, Kecskemét, Körmend, Pécsi VSK, Szedeák, Szolnoki Olajbányász
Kenny IZZO;PF;Légiós;1985;206;111;Factum Sport Debrecen
Altron JACKSON;GF;Légiós;1980;198;84;Kaposvári KK
Antino JACKSON;PG;Légiós;1996;180;82;Sopron KC
Darrin JACKSON;SF;Légiós;1968;200;;Csepel
Derek JACKSON;PG;Légiós;1991;185;77;Kaposvári KK
J.D. JACKSON;GF;Légiós;1969;196;;ZTE KK
Justin JACKSON;PF;Légiós;1990;203;102;Atomerőmű SE
KJ JACKSON;G;Légiós;1998;188;82;Sopron KC
Randell JACKSON;FC;Légiós;1976;211;100;Alba Fehérvár
Ronald JACKSON;PF;Légiós;1997;203;93;Kaposvári KK
Živorad JAĆOVIĆ;G;Légiós;1961;189;;Csepel
JÁHNI István;FC;Hazai;1965;200;88;Budapesti Honvéd, Hódmezővásárhely, Szegedi EOL, Szolnoki Olajbányász, Veszprém
JAKAB Gábor;PG;Hazai;1969;180;83;Dombóvár, ZTE KK
JAKAB Péter;G;Hazai;1993;192;80;Kecskemét, Nyíregyháza, Szedeák
JAKAB Tibor;SF;Hazai;1973;194;78;Debreceni KK
JAKAB Zsolt;GF;Hazai;1954;189;85;Szegedi EOL
Daniel JAKABOVIČ;G;Légiós;1968;195;87;Sopron KC
Nate JAMES;SF;Légiós;1977;198;91;Kaposvári KK
JANCSIKIN Braniszlav;SF;Hazai;1986;198;88;Falco KC Szombathely, Kaposvári KK
JANI Tamás;FC;Hazai;1975;202;85;Dombóvár
Virginijus JANKAUSKAS;C;Légiós;1959;207;;Szegedi EOL
JANKOVICS Attila;FC;Hazai;1958;200;90;Budapesti Honvéd, Tungsram
JANKOVICS László;FC;Hazai;1974;200;;Debreceni KK
JANKOVICS Zsolt;C;Hazai;1968;206;94;Atomerőmű SE, Budapesti Honvéd, Dombóvár
JÁNNY Csaba;G;Hazai;1959;180;76;Oroszlány, Szolnoki Olajbányász, Videoton
JÁNOSSI Tamás;C;Hazai;1983;208;115;Nyíregyháza
JANOVICS László;GF;Hazai;1961;193;85;Pécsi EAC
Nemanja JARAMAZ;GF;Légiós;1991;201;86;Kecskemét
JAROSEVITS Róbert;C;Hazai;1982;210;110;Falco KC Szombathely, Hódmezővásárhely
Okko JÄRVI;SG;Légiós;1996;193;93;Kecskemét
Robert JARVIS;G;Légiós;1987;180;84;Salgótarjáni KSE, Sopron KC
Artūras JASIUNSKAS;PG;Légiós;1964;188;;Nagykőrös
Branko JAŠŠ;C;Légiós;1964;205;93;Csepel
JÁVORSZKI Gábor;PG;Hazai;1977;187;76;Falco KC Szombathely, Sopron KC
Ermin JAZVIN;C;Légiós;1980;209;115;Kaposvári KK
James JEAN-MARIE;FC;Légiós;1997;203;107;Kaposvári KK
Maurice JEFFERS;FC;Légiós;1994;206;109;ZTE KK
JEFFERSON;FC;Légiós;1983;208;110;Kecskemét
Andris JĒKABSONS;SF;Légiós;1961;195;90;Alba Fehérvár
Nemanja JELESIJEVIĆ;C;Légiós;1979;210;100;Nyíregyháza
JENEI Tamás;G;Hazai;1965;188;;Szegedi EOL
JENEI Zsolt;PG;Hazai;1968;187;;MAFC, Szegedi EOL
Konsztantyin JEREMENKO-KESZTNER;C;Légiós;1972;213;100;Nyíregyháza
Branko JEREMINOV;PG;Légiós;1987;185;85;Szedeák
Alexander JERMOLINSZKIJ;C;Légiós;1959;205;99;Budapesti Honvéd, MAFC
Nikola JEVTOVIĆ;FC;Légiós;1989;208;105;Atomerőmű SE
JILLING László;PG;Hazai;1987;185;80;Atomerőmű SE
Tauras JOGĖLA;F;Légiós;1993;203;95;Sopron KC
A.J. JOHN;F;Légiós;1996;203;102;Oroszlány
Antione JOHNSON;PG;Légiós;1981;185;82;NTE Hegyvidék
Ashante JOHNSON;PF;Légiós;1976;206;98;Atomerőmű SE
Brandon JOHNSON;PG;Légiós;1986;183;93;Sopron KC
Brandon JOHNSON;FC;Légiós;2002;206;100;ZTE KK
Cavell JOHNSON;PF;Légiós;1985;203;104;MAFC
Clayton JOHNSON;SF;Légiós;1973;198;;Budapesti Honvéd
Ian JOHNSON;PF;Légiós;1984;206;107;Atomerőmű SE, Kecskemét
Jermaine JOHNSON;PF;Légiós;1985;201;111;Sopron KC
Kejuan JOHNSON;G;Légiós;1985;193;88;Jászberény
Kendrik JOHNSON;PG;Légiós;1975;185;94;Atomerőmű SE
Nigel JOHNSON;PG;Légiós;1995;185;83;Nyíregyháza, Pécsi VSK
Reggie JOHNSON;G;Légiós;1994;191;86;Kaposvári KK, ZTE KK
Radenko JOKANOVIĆ;GF;Légiós;1957;193;;Videoton
Predrag JOKSIMOVIĆ;SF;Légiós;1977;200;96;Egri Fekete Sasok, Szolnoki Olajbányász
Aaron JONES;FC;Légiós;1993;206;107;ZTE KK
Andre JONES;G;Légiós;1990;188;89;Sopron KC, Szolnoki Olajbányász
Anthony JONES;SG;Légiós;1984;191;84;Kaposvári KK, Szedeák
Christian JONES;PF;Légiós;1993;201;107;Sopron KC
Evan JONES;SF;Légiós;1970;196;90;MAFC
Jahmal JONES;PG;Légiós;1991;185;75;Debreceni EAC
Jarrod JONES;FC;Honosított;1990;206;105;Alba Fehérvár, Atomerőmű SE, Szolnoki Olajbányász
Jeff JONES;SG;Légiós;1989;193;86;Sopron KC
Jonathan JONES;C;Légiós;1979;211;108;Alba Fehérvár, Dombóvár, Jászberény
Lazeric JONES;PG;Légiós;1990;183;84;Szolnoki Olajbányász
Marcel JONES;F;Légiós;1985;203;100;Falco KC Szombathely
Michael JONES;FC;Légiós;1982;206;101;ZTE KK
JOÓ Tamás;F;Hazai;1998;196;92;MAFC
Antonio JORDANO;SG;Légiós;1999;190;86;Falco KC Szombathely
Jay JOSEPH;GF;Légiós;1982;193;98;Egri Fekete Sasok
Yasiin JOSEPH;G;Légiós;1996;185;82;Alba Fehérvár, Atomerőmű SE, Sopron KC
Branimir JOSIPOVIĆ;FC;Légiós;1981;206;107;Atomerőmű SE
Feđa JOVANOVIĆ;SF;Légiós;1971;195;;Dombóvár, Kecskemét, Nyíregyháza, Pécsi VSK
Ljubiša JOVANOVIĆ;FC;Légiós;1963;205;;Falco KC Szombathely, Sopron KC
Nikola JOVANOVIĆ;FC;Légiós;1981;205;95;Kecskemét
Srđan JOVANOVIĆ;G;Légiós;1976;194;88;Kecskemét, Pécsi VSK
Strahinja JOVANOVIĆ;PG;Légiós;1996;185;82;Alba Fehérvár, Falco KC Szombathely, Szolnoki Olajbányász
JUDIK Béla;G;Hazai;1962;186;82;Budapest SE, Budapesti Honvéd, Szolnoki Olajbányász, Vasas
JUGOVICS Attila;SF;Hazai;1966;195;80;Oroszlány
JUHÁSZ András;GF;Hazai;1957;190;80;Pécsi EAC
JUHÁSZ Gyula;F;Hazai;1963;194;95;Alba Fehérvár
JUHÁSZ László;SF;Hazai;1961;195;82;Atomerőmű SE, Körmend
JUHOS Ferenc;FC;Hazai;1955;198;96;Kaposvári KK, Veszprém
JUHOS Levente;FC;Hazai;1991;206;103;Alba Fehérvár, Kaposvári KK, Szedeák, Szolnoki Olajbányász
Josip JUKIĆ;C;Légiós;1996;206;101;Kaposvári KK
Vaidas JURGILAS;PF;Légiós;1973;199;99;Atomerőmű SE, Kaposvári KK
Miroslav JURIĆ;G;Légiós;1975;193;85;Debreceni KK
Andrius JURKŪNAS;PF;Légiós;1976;205;106;Szolnoki Olajbányász
JUSZTIN Ádám;G;Hazai;1973;189;80;Budapesti Honvéd, Kaposvári KK, MAFC, Szolnoki Olajbányász
K. TÓTH Gyula;C;Hazai;1986;203;114;Kecskemét
Nikola KABLAR;PF;Légiós;1971;204;;Videoton
KÁDÁR Tamás;G;Hazai;1991;172;67;Factum Sport Debrecen
Abdurahman KAHRIMANOVIĆ;GF;Légiós;1975;198;;Egri Fekete Sasok
KAJTOR Zsolt;;Hazai;;;;Videoton
KÁKONYI Lehel;G;Hazai;1984;187;;ZTE KK
KALAMÁR Zoltán;FC;Hazai;1968;203;94;Falco KC Szombathely, Körmend, Matáv Pécs, Sopron KC
KÁLDY Zsolt;SG;Hazai;1966;187;80;Dombóvár, Pécsi VSK
KÁLMÁN László;PG;Hazai;1972;186;75;Falco KC Szombathely
KÁLMÁN Mihály;;Hazai;;;;Budapest SE, Vasas
KALMÁR Péter;FC;Hazai;;200;;Vasas
KALMÁR Viktor;C;Hazai;2000;205;115;Atomerőmű SE, Pécsi VSK
KALÓ László;G;Hazai;1953;186;84;Egri TANÉP
KALUHA Csaba;PG;Hazai;1990;186;87;Debreceni Egyetem, Factum Sport Debrecen, Nyíregyháza
Ernests KALVE;F;Légiós;1987;201;94;Alba Fehérvár, Szolnoki Olajbányász
Mindaugas KALVELIS;FC;Légiós;1980;205;112;Falco KC Szombathely
KAMAKER László;C;Hazai;1964;204;93;Kecskemét
KÁMÁN Tamás;F;Hazai;1979;200;95;Alba Fehérvár, Atomerőmű SE, ZTE KK
KAMARÁS György;G;Hazai;1952;188;73;Budapesti Honvéd
KANCSÁR Zoltán;G;Hazai;1951;184;84;Bajai SK
Damjan KANDIĆ;FC;Légiós;1984;205;;Nyíregyháza
KANGYAL Gergely;SG;Hazai;1974;193;93;Atomerőmű SE, Budapesti Honvéd, Hódmezővásárhely, MAFC
KÁNTOR Olivér;G;Hazai;1995;191;85;Sopron KC
Aleksandar KAPLAREVIĆ;FC;Légiós;;200;;Szegedi EOL
KÁPOSZTA Kristóf;FC;Hazai;2001;194;86;Szedeák
Ante KAPOV;SF;Légiós;1975;198;100;Pécsi VSK
KARÁCSONY László;G;Hazai;1958;185;;Oroszlány
KARÁCSONYI József;G;Hazai;1946;187;87;Bajai SK
Stevan KARADŽIĆ;SG;Légiós;1960;195;;Sopron KC
KARAGITS Miklós;C;Hazai;1966;204;102;Budapesti Honvéd, Csepel, Debreceni KK, Matáv Pécs, Tungsram
Kemal KARAHODŽIĆ;C;Honosított;1989;210;115;Kecskemét
KÁRÁSZ János, Dr.;C;Hazai;1947;207;92;Kandó MFSC
KARDA Dominik;G;Hazai;2005;187;68;Budapesti Honvéd
KARDOS László;C;Hazai;1965;203;90;Alba Fehérvár, Körmend, Tungsram
Albert KARNER;PG;Légiós;1970;192;90;Alba Fehérvár, Kaposvári KK
KAROSI Gergely;GF;Hazai;1999;192;79;Atomerőmű SE
KÁRPÁTI Zoltán;GF;Hazai;1962;190;73;Kecskemét
KÁRPÁTI Zsolt;C;Hazai;1968;207;110;MAFC, Videoton
KARSAI Gábor;SF;Hazai;1976;194;85;Kaposvári KK
KASS Balázs;G;Hazai;2002;192;86;Alba Fehérvár, Nyíregyháza
Erjon KASTRATI;GF;Légiós;1994;197;95;Körmend
KASZA Dániel;PG;Hazai;1987;180;75;Kaposvári KK
KASZÁS Ferenc;FC;Légiós;1955;200;;Csepel, Szegedi EOL
KASZÁS Márton;PF;Hazai;2001;191;104;Jászberény
KATONA András;G;Hazai;1958;188;76;Sopron KC
KATONA Bence;G;Hazai;1999;190;85;Jászberény, MAFC
KATONA József;SF;Hazai;1974;193;95;Százhalombatta, Szolnoki Olajbányász
KATONA Róbert;GF;Hazai;1989;189;89;Vasas
Luka KATURA;GF;Légiós;1989;193;94;Körmend
Valdas KAUKĖNAS;PF;Légiós;1976;203;105;MAFC
KAUZÁL István;G;Hazai;1955;183;70;Budapest SE, Tungsram
Arnas KAZLAUSKAS;PF;Légiós;1976;204;110;Falco KC Szombathely
KÁZMÉR Zoltán;GF;Hazai;1963;190;82;Volán SC
KAZY Balázs;GF;Hazai;2003;194;92;NKA Pécs
KECSKÉS Ákos, Dr.;GF;Hazai;1957;190;83;Szegedi EOL
KECSKÉS Péter;C;Hazai;1979;210;100;Budapesti Honvéd, MAFC, Nyíregyháza, Pécsi VSK, Szedeák
Mateo KEDŽO;FC;Légiós;1984;205;114;Atomerőmű SE
KÉGEL Tamás;GF;Hazai;1970;190;75;Budapesti Honvéd
KÉGER Ferenc;GF;Hazai;1957;191;85;Oroszlány, Volán SC
Andrew KEISTER;FC;Légiós;1988;206;107;Kaposvári KK
Shaquille KEITH;F;Légiós;1993;198;104;Atomerőmű SE
KÉKESI István;G;Hazai;1957;180;70;Szolnoki Olajbányász
KÉKESI Kolos;SG;Hazai;2006;189;90;Atomerőmű SE
KELEMEN Bálint;FC;Hazai;1960;200;83;Pécsi EAC
KELEMEN Kristóf;PG;Hazai;1993;183;78;Jászberény
KELENFÖLDI Domonkos;FC;Hazai;2000;203;103;Kecskemét
KELLER Ákos;C;Hazai;1989;208;101;Alba Fehérvár, Falco KC Szombathely, Körmend, Szolnoki Olajbányász
KELLER Bendegúz;GF;Hazai;2006;192;90;Sopron KC
KELLER Iván;SF;Hazai;1995;197;92;Alba Fehérvár, Budapesti Honvéd, Kecskemét, Szedeák, ZTE KK
KELLER Vidor;C;Hazai;1990;208;100;Alba Fehérvár
Thomas KELLEY;PG;Légiós;1976;188;83;Kecskemét, Pécsi VSK, Sopron KC, Szolnoki Olajbányász, ZTE KK
Jarvis KELLEY-SANNI;PF;Légiós;1975;205;;Alba Fehérvár
C.J. KELLY;SG;Légiós;1998;196;91;Körmend
Adam KEMP;C;Légiós;1990;208;107;Alba Fehérvár
Maurice KEMP;F;Légiós;1991;203;86;Alba Fehérvár
KENDELÉNYI Ádám;SF;Hazai;1976;196;80;MAFC
KENÉZ Csaba;PG;Hazai;2002;190;83;Debreceni EAC, Körmend
Stefan KENIĆ;PF;Légiós;1997;206;101;Oroszlány
Michael KENNEDY;FC;Légiós;1964;203;109;Matáv Pécs
Joseph KENNERLY;C;Légiós;1984;206;119;Debreceni Egyetem
KENYERES Sándor;SF;Hazai;1988;195;95;Szolnoki Olajbányász
KÉPLI Péter;F;Hazai;1979;198;96;Alba Fehérvár, ZTE KK
KERÉNYI Gergő;G;Hazai;1988;180;;Dombóvár
KERÉNYI Zsolt;FC;Hazai;1962;200;91;Dombóvár, MAFC, Szolnoki Olajbányász, Tungsram
KERESZTES Rafael;FC;Hazai;1979;208;103;Körmend, NTE Hegyvidék, Sopron KC, ZTE KK
KERESZTESI István;G;Hazai;1993;184;80;Factum Sport Debrecen
KERESZTY Domos;F;Hazai;1997;195;84;Szedeák
KERKAI Ákos;GF;Hazai;1993;192;90;ZTE KK
KERPEL-FRONIUS Balázs;F;Hazai;1992;196;93;Atomerőmű SE, Jászberény, Szedeák, ZTE KK
KERPEL-FRONIUS Gáspár;PG;Hazai;1998;188;85;Debreceni EAC, NKA Pécs, Szedeák
KERTÉSZ Dániel;PG;Hazai;1990;185;80;Alba Fehérvár, ZTE KK
KERTÉSZ Dávid;G;Hazai;2004;198;87;Alba Fehérvár
KERTÉSZ József, Dr.;;Hazai;;;;Szegedi EOL
KERTÉSZ István;G;Hazai;1952;176;72;Kandó MFSC
KERTÉSZ Tamás;GF;Hazai;1972;192;;Falco KC Szombathely, ZTE KK
KERTÉSZ Zsolt;G;Hazai;1972;185;;Videoton
KERTLI Ádám;G;Hazai;2006;188;83;Kecskemét
Igor KESAR;C;Légiós;1992;210;120;Pécsi VSK
Sylvester KINCHEON;C;Légiós;1964;209;;Debreceni KK
Vincent KING;SF;Légiós;1970;201;;Kaposvári KK
Ndjadi KINGOMBE;C;Légiós;1976;206;105;Nyíregyháza
James KINNEY;G;Légiós;1990;188;82;Jászberény, Kecskemét, Sopron KC, Szolnoki Olajbányász, ZTE KK
Mike KINSELLA;C;Légiós;1984;213;115;Dombóvár, Kaposvári KK
KINTER György;C;Hazai;1988;212;109;Dombóvár, Körmend, ZTE KK
KINTER György;FC;Hazai;1956;197;86;Egri TANÉP, Sopron KC, Testnevelési Főiskola
KIRÁLY László;PG;Hazai;1964;183;80;Kecskemét, Nagykőrös
KIRCSÁK Zoltán;PG;Hazai;1960;180;78;Csepel
KIRICSI László;PG;Hazai;1988;180;82;Atomerőmű SE, Falco KC Szombathely, Sopron KC
KIRR László;F;Hazai;1963;197;83;Kecskemét
KIS Attila;PF;Hazai;1967;198;97;Budapesti Honvéd, Hódmezővásárhely, ZTE KK
KIS Péter;C;Hazai;1971;208;96;Atomerőmű SE, Százhalombatta, Szolnoki Olajbányász
KIS Raul;PF;Hazai;1996;205;102;Atomerőmű SE, Kaposvári KK, ZTE KK
KIS Sándor;PF;Hazai;1967;198;91;Hódmezővásárhely, Kaposvári KK, ZTE KK
KIS Viktor;PG;Hazai;2006;181;65;Szedeák
KISKÓS Dávid;PG;Hazai;1989;180;80;Körmend
KISS András;PF;Hazai;1946;196;;Egri TANÉP
KISS Attila;;Hazai;;;;MAFC
KISS Benedek;GF;Hazai;2001;194;86;Alba Fehérvár, Körmend, Nyíregyháza
KISS Dávid;C;Hazai;2002;209;105;Kecskemét
KISS Dominik;PF;Hazai;2003;196;85;Szolnoki Olajbányász
KISS János;FC;Hazai;1956;200;96;Alba Fehérvár, MAFC
KISS Kálmán;G;Hazai;1954;188;75;Alba Fehérvár
KISS Károly;F;Hazai;1980;198;85;Egri Fekete Sasok, MAFC, Salgótarjáni KSE
KISS Károly;FC;Hazai;1955;200;85;Szolnoki Olajbányász
KISS Kolos;G;Hazai;2003;187;86;Debreceni EAC
KISS Kornél;G;Hazai;1987;188;85;Kaposvári KK, Pécsi VSK
KISS László;G;Hazai;1959;189;74;Bajai SK, Pécsi EAC
KISS Mátyás;G;Hazai;2001;193;93;Körmend
KISS Miklós;GF;Hazai;1969;191;;Budapesti Honvéd, MAFC
KISS Norbert;;Hazai;;;;Kecskemét
KISS Tamás;PF;Hazai;1958;198;96;Budapesti Honvéd
KISS Zoltán;SG;Hazai;1981;191;;Falco KC Szombathely
KISS Zsolt;GF;Hazai;1979;192;87;Atomerőmű SE, Szedeák
KISS-LEITZER Gergő;F;Hazai;2006;200;82;Szedeák
KISTELEKI András, Dr.;;Hazai;;;;Alba Fehérvár
KISTELEKI Péter;PF;Hazai;1948;193;100;Alba Fehérvár
Gordon KLAIBER;PF;Légiós;1983;206;93;Kecskemét
Milan KLEPO;C;Légiós;1980;212;;Kaposvári KK
Janusz KLIMEK;C;Légiós;1957;205;105;Videoton
KLÍR Zsolt;F;Hazai;1988;200;92;Dombóvár
Milun KLISURA;C;Légiós;1961;205;;Körmend
Jaka KLOBUČAR;GF;Légiós;1987;198;91;Kecskemét
KLÖCZL György;F;Hazai;1957;196;95;Csepel
KLUCSIK Zoltán;F;Hazai;1968;196;;Tungsram
KMÉZICS Zorán;FC;Honosított;1962;200;96;Debreceni KK, Szolnoki Olajbányász
KNÉZY Jenő;SF;Hazai;1972;195;;Budapesti Honvéd, Szolnoki Olajbányász, Tungsram
Matthew KNIGHT;FC;Légiós;1985;206;109;Kecskemét, Sopron KC
Zane KNOWLES;C;Légiós;1992;208;116;Atomerőmű SE
KNYIHÁR György;C;Hazai;1963;202;82;Csepel, Oroszlány
Primož KOBALE;SG;Légiós;1976;193;;Nyíregyháza, Szolnoki Olajbányász
Sebastian KOCH;PF;Légiós;1988;202;100;Körmend
Alexander KOCSERGIN;C;Légiós;1968;203;101;Csepel, Hódmezővásárhely, Nagykőrös
KOCSIS Tamás;SG;Hazai;1985;189;78;Körmend, Salgótarjáni KSE
KOCSIS Zalán;F;Hazai;1998;200;88;Kaposvári KK, Pécsi VSK
KOCSIS Zoltán;G;Hazai;1976;191;95;Budapesti Honvéd, Sopron KC, ZTE KK
KOCZKA András;SG;Hazai;1985;188;88;ZTE KK
KŐHALMI Balázs;SG;Hazai;1985;191;80;MAFC
KŐHÁZI Bence;PG;Hazai;2004;180;68;Kecskemét
Aleh KOJENEC;C;Légiós;1977;206;117;Dombóvár
KÓKAY András;FC;Hazai;1959;200;96;MAFC
Marko KOLARIĆ;C;Légiós;1984;213;110;Körmend, Nyíregyháza
KOLARICS Dániel;G;Hazai;1978;190;75;MAFC, Sopron KC
KOLESÁNSZKY Norbert;G;Hazai;1981;182;79;Falco KC Szombathely
Igor KOLICSEV;SF;Légiós;1965;200;;Kaposvári KK
KOLLÁR Balázs;G;Hazai;1982;182;75;Budapesti Honvéd, Egri Fekete Sasok
KOLLÁR Bence;GF;Hazai;2002;196;92;NKA Pécs
KOLLÁR Soma;SG;Hazai;1988;;;Dombóvár
KOLLÁR Zoltán;C;Hazai;1982;210;92;Debreceni KK, Nyíregyháza
KOLONICS Zoltán;FC;Hazai;1973;206;98;Falco KC Szombathely, Körmend
KOMA Dániel;FC;Hazai;1979;203;97;Kaposvári KK, Salgótarjáni KSE, ZTE KK
KOMÁROMI Gergely;SG;Hazai;1988;190;80;Hódmezővásárhely
KOMÁROMI Márk;SF;Hazai;1992;193;95;Salgótarjáni KSE
KOMÁROMY László;G;Hazai;1960;186;80;Kandó MFSC
KOMENCZY Lajos;G;Hazai;1949;184;80;Egri TANÉP
KOMLÓSSY Gyula;SF;Hazai;1976;195;;Debreceni KK
KOMONDI Gábor;GF;Hazai;1961;192;88;Körmend, Sopron KC
Brahim KONARE;C;Légiós;1974;206;101;Kaposvári KK
Sagaba KONATE;C;Légiós;1997;203;115;Körmend
KONCZ Péter;G;Hazai;1995;185;80;Alba Fehérvár, MAFC
Sidiki KONÉ;C;Légiós;2001;211;103;Nyíregyháza
KONTICS Ferenc;GF;Hazai;1972;193;90;Dombóvár
KÓNYA Levente;PG;Hazai;1991;183;77;Kecskemét
KÓNYA Zoltán;PG;Hazai;1964;180;76;Szegedi EOL
KOPÁCSI Ákos;G;Hazai;2001;182;75;Budapesti Honvéd
Miloš KOPRIVICA;C;Légiós;1995;208;102;Kaposvári KK
Slaviša KOPRIVICA;FC;Légiós;1968;206;115;Szolnoki Olajbányász
KORCSOK Mihály;C;Hazai;1970;210;113;Bajai Honvéd, Bajai SK, Falco KC Szombathely, Kecskemét, Nyíregyháza
KOREPTA József;G;Hazai;1946;186;84;Egri TANÉP
KÖRMENDI Bence;F;Hazai;2000;198;97;Falco KC Szombathely, Kecskemét
KÖRTÉLYESI Gergely;F;Hazai;1983;202;91;Atomerőmű SE, Sopron KC
KÖRTVÉLYESSY András;PF;Hazai;2008;200;82;Szedeák
KÓSA Dániel;SG;Hazai;1996;192;90;Nyíregyháza
KÓSA Tamás;G;Hazai;1995;191;97;Debreceni EAC, Nyíregyháza
Paweł KOSIOR;C;Légiós;1970;207;;Bajai Honvéd
Marek KOSTENCKI;C;Légiós;1954;204;94;Kaposvári KK
KOSTÁLY Károly;G;Hazai;1959;182;79;Oroszlány
KÓTHAY László;PG;Hazai;1990;183;73;Debreceni Egyetem, Factum Sport Debrecen
KOTLIK László;SF;Hazai;1972;198;93;Sopron KC, Soproni MAFC
Greg KOUBEK;F;Légiós;1969;198;93;Tungsram
Daylen KOUNTZ;G;Légiós;2000;193;83;Körmend
Đorđe KOVAČEVIĆ;C;Légiós;1973;205;;Hódmezővásárhely
Milorad KOVAČEVIĆ;C;Légiós;1970;207;115;Atomerőmű SE, Körmend, Sopron KC
Nemanja KOVAČEVIĆ;G;Légiós;1985;194;82;Pécsi VSK
KOVÁCS Ádám;F;Hazai;1993;201;101;Alba Fehérvár, Atomerőmű SE, MAFC, Szedeák, ZTE KK
KOVÁCS Ákos;G;Hazai;2001;187;81;Jászberény
KOVÁCS Ákos;G;Hazai;1988;186;75;Alba Fehérvár, Atomerőmű SE, Kecskemét
KOVÁCS Ákos;FC;Hazai;2003;205;101;Debreceni EAC
KOVÁCS Áron;GF;Hazai;2007;190;70;ZTE KK
KOVÁCS Áron;SG;Hazai;2007;189;90;Sopron KC
KOVÁCS Attila;F;Hazai;1985;203;91;Jászberény
KOVÁCS Attila;FC;Hazai;1971;200;;Budapesti Honvéd
KOVÁCS Attila;PF;Hazai;1961;200;95;Csepel, ZTE KK
KOVÁCS Balázs;SF;Hazai;1985;198;;Pécsi VSK
KOVÁCS Barnabás;SF;Hazai;1994;195;90;Kecskemét
KOVÁCS Bence;G;Hazai;1996;190;72;Falco KC Szombathely
KOVÁCS Benedek;F;Hazai;2001;198;93;Falco KC Szombathely, Sopron KC, ZTE KK
KOVÁCS Benedek;PF;Hazai;1987;201;88;Kecskemét
KOVÁCS Dávid;GF;Hazai;1987;190;85;Szolnoki Olajbányász
KOVÁCS Domonkos;SF;Hazai;1989;197;90;Kaposvári KK, ZTE KK
KOVÁCS Gábor;GF;Hazai;1998;196;97;Szolnoki Olajbányász
KOVÁCS Gábor;SG;Hazai;1963;186;81;Atomerőmű SE, Csepel
KOVÁCS Gábor;F;Hazai;1974;199;86;Budapesti Honvéd
KOVÁCS Gergely;G;Hazai;1982;185;;Kaposvári KK
KOVÁCS Gergely;GF;Hazai;1962;193;84;Kecskemét, Tungsram
KOVÁCS Imre;PF;Hazai;1983;202;100;Debreceni Egyetem, Debreceni KK, Factum Sport Debrecen
KOVÁCS József;G;Hazai;1996;183;85;Szedeák
