Játékos;Szezon;Csapat;G;Min;Min PG;AST;AST PG;AST 100;AST%;AST/ TOV;TOV;TOV PG;TOV 100;TOV%;DRB;ORB;TRB;DRB PG;ORB PG;TRB PG;DRB 100;ORB 100;TRB 100;DRB%;ORB%;TRB%;PFA;PFA PG;PFA 100;PF;PF PG;PF 100;Min / 5 PF;STL;STL PG;STL%;STL/ TOV;BLK;BPG PG;BLK 100;BLK%
DOROGI Gergő;2023-24;Atomerőmű SE;33;326;9.9;10;0.3;1.6;4.7;0.83;12;0.4;2.0;13.1;33;14;47;1.0;0.4;1.4;5.4;2.3;7.7;10.9;4.8;7.9;12;0.4;2.0;64;1.9;10.5;25.5;4;0.1;0.7;0.3;5;0.2;0.8;1.4
KOPÁCSI Ákos;2022-23;Bp. Honvéd;35;325;9.3;25;0.7;4.2;13.0;1.32;19;0.5;3.2;17.9;17;7;24;0.5;0.2;0.7;2.9;1.2;4.1;6.1;2.3;4.1;16;0.5;2.7;51;1.5;8.6;31.9;14;0.4;2.4;0.7;0;0.0;0.0;0.0
SZALAY Domonkos;2023-24;ZTE;25;325;13.0;12;0.5;2.0;5.6;0.80;15;0.6;2.5;18.8;27;13;40;1.1;0.5;1.6;4.5;2.2;6.7;9.4;4.5;6.9;20;0.8;3.3;48;1.9;8.0;33.9;7;0.3;1.2;0.5;1;0.0;0.2;0.3
DeMarco DICKERSON;2022-23;NYBS;18;324;18.0;47;2.6;7.6;29.8;1.09;43;2.4;6.9;20.6;32;8;40;1.8;0.4;2.2;5.2;1.3;6.4;11.8;2.6;6.9;43;2.4;6.9;44;2.4;7.1;36.8;17;0.9;2.7;0.4;4;0.2;0.6;1.3
Anton COOK;2023-24;Körmend;10;323;32.3;37;3.7;6.2;19.7;1.48;25;2.5;4.2;14.6;16;7;23;1.6;0.7;2.3;2.7;1.2;3.9;5.1;2.4;3.8;42;4.2;7.1;22;2.2;3.7;73.4;9;0.9;1.5;0.4;1;0.1;0.2;0.3
Jamarius BURTON;2024-25;Oroszlány;10;323;32.3;49;4.9;8.2;31.2;1.96;25;2.5;4.2;14.3;43;4;47;4.3;0.4;4.7;7.2;0.7;7.9;14.2;1.5;8.2;43;4.3;7.2;23;2.3;3.9;70.2;10;1.0;1.7;0.4;0;0.0;0.0;0.0
GULYÁS Milán;2022-23;Atomerőmű SE;22;322;14.6;21;1.0;3.6;10.1;1.40;15;0.7;2.5;15.9;36;9;45;1.6;0.4;2.0;6.1;1.5;7.6;12.3;3.2;7.8;10;0.5;1.7;39;1.8;6.6;41.3;15;0.7;2.5;1.0;5;0.2;0.9;1.6
Isaiah PHILMORE;2024-25;Alba Fehérvár;10;319;31.9;20;2.0;3.5;9.8;1.00;20;2.0;3.5;18.0;36;23;59;3.6;2.3;5.9;6.2;4.0;10.2;14.0;8.1;10.9;31;3.1;5.4;22;2.2;3.8;72.6;5;0.5;0.9;0.3;0;0.0;0.0;0.0
Brandon PARRISH;2022-23;Körmend;14;315;22.5;9;0.6;1.5;4.6;1.00;9;0.6;1.5;7.7;23;15;38;1.6;1.1;2.7;3.9;2.6;6.5;8.5;5.3;6.9;23;1.6;3.9;22;1.6;3.8;71.6;12;0.9;2.1;1.3;3;0.2;0.5;0.9
Anthony MATHIS;2023-24;Sopron;14;315;22.5;21;1.5;3.6;11.9;1.50;14;1.0;2.4;9.1;23;9;32;1.6;0.6;2.3;4.0;1.6;5.5;9.0;3.3;6.1;53;3.8;9.1;31;2.2;5.3;50.8;9;0.6;1.5;0.6;2;0.1;0.3;0.7
