Dátum;Hazai csapat;Vendég csapat;Ered.;home_score;away_score;Kim.;Szakasz;Hazai ÉLŐ pont;Hazai ÉLŐ vált.;Vend. ÉLŐ pont;Vend. ÉLŐ vált.
2022-10-29;Zalakerámia ZTE KK;Sopron KC;94-87;94;87;H;alapszakasz;1479;7.6;1516;-7.6
2022-10-30;Falco-Vulcano Energia KC Szombathely;Szolnoki Olajbányász;83-71;83;71;H;alapszakasz;1723;4.1;1638;-4.1
2022-10-30;Kometa Kaposvári KK;Naturtex-SZTE-Szedeák;89-74;89;74;H;alapszakasz;1486;12.0;1519;-12.0
2022-11-12;DEAC;MVM-OSE Lions;79-80;79;80;V;alapszakasz;1473;-7.4;1506;7.4
2022-11-18;Duna Aszfalt-DTKH Kecskemét;Falco-Vulcano Energia KC Szombathely;85-95;85;95;V;alapszakasz;1506;-11.3;1727;11.3
2022-11-18;Naturtex-SZTE-Szedeák;Sopron KC;80-82;80;82;V;alapszakasz;1507;-9.2;1509;9.2
2022-11-18;Szolnoki Olajbányász;Atomerőmű SE;88-76;88;76;H;alapszakasz;1634;2.0;1449;-2.0
2022-11-19;Arconic-Alba Fehérvár;Budapesti Honvéd SE;96-60;96;60;H;alapszakasz;1596;1.7;1285;-1.7
2022-11-19;Egis Körmend;Kometa Kaposvári KK;85-80;85;80;H;alapszakasz;1556;2.8;1498;-2.8
2022-11-19;HÜBNER Nyíregyháza BS;Zalakerámia ZTE KK;74-87;74;87;V;alapszakasz;1377;-19.3;1486;19.3
2022-11-23;Kometa Kaposvári KK;Arconic-Alba Fehérvár;95-103;95;103;V;alapszakasz;1495;-14.9;1598;14.9
2022-11-23;HÜBNER Nyíregyháza BS;Naturtex-SZTE-Szedeák;78-86;78;86;V;alapszakasz;1358;-13.1;1498;13.1
2022-11-23;MVM-OSE Lions;Szolnoki Olajbányász;86-84;86;84;H;alapszakasz;1514;7.0;1636;-7.0
2022-11-23;Zalakerámia ZTE KK;DEAC;84-79;84;79;H;alapszakasz;1506;4.0;1466;-4.0
2022-11-26;Arconic-Alba Fehérvár;Sopron KC;91-85;91;85;H;alapszakasz;1613;2.6;1518;-2.6
2022-11-26;Budapesti Honvéd SE;Kometa Kaposvári KK;78-77;78;77;H;alapszakasz;1283;7.6;1480;-7.6
2022-11-26;DEAC;Naturtex-SZTE-Szedeák;83-78;83;78;H;alapszakasz;1462;7.5;1511;-7.5
2022-11-26;Falco-Vulcano Energia KC Szombathely;MVM-OSE Lions;104-70;104;70;H;alapszakasz;1738;3.3;1521;-3.3
2022-11-26;Szolnoki Olajbányász;Zalakerámia ZTE KK;84-80;84;80;H;alapszakasz;1629;1.8;1510;-1.8
2022-11-27;Duna Aszfalt-DTKH Kecskemét;Atomerőmű SE;69-74;69;74;V;alapszakasz;1495;-14.4;1447;14.4
2022-11-27;Egis Körmend;HÜBNER Nyíregyháza BS;93-76;93;76;H;alapszakasz;1558;1.9;1345;-1.9
2022-11-30;Atomerőmű SE;Falco-Vulcano Energia KC Szombathely;77-84;77;84;V;alapszakasz;1461;-7.6;1741;7.6
2022-11-30;Budapesti Honvéd SE;Duna Aszfalt-DTKH Kecskemét;57-68;57;68;V;alapszakasz;1290;-14.2;1480;14.2
2022-12-02;HÜBNER Nyíregyháza BS;Arconic-Alba Fehérvár;80-108;80;108;V;alapszakasz;1343;-18.3;1615;18.3
2022-12-02;Naturtex-SZTE-Szedeák;Szolnoki Olajbányász;65-76;65;76;V;alapszakasz;1504;-16.0;1631;16.0
2022-12-03;DEAC;Egis Körmend;90-72;90;72;H;alapszakasz;1469;19.9;1560;-19.9
2022-12-03;Falco-Vulcano Energia KC Szombathely;Zalakerámia ZTE KK;94-80;94;80;H;alapszakasz;1749;1.5;1508;-1.5
2022-12-03;Kometa Kaposvári KK;Duna Aszfalt-DTKH Kecskemét;74-77;74;77;V;alapszakasz;1472;-10.7;1494;10.7
2022-12-03;MVM-OSE Lions;Atomerőmű SE;90-95;90;95;V;alapszakasz;1517;-14.7;1454;14.7
2022-12-03;Sopron KC;Budapesti Honvéd SE;80-61;80;61;H;alapszakasz;1515;2.3;1276;-2.3
2022-12-06;Szolnoki Olajbányász;Arconic-Alba Fehérvár;94-90;94;90;H;alapszakasz;1647;3.6;1633;-3.6
2022-12-07;Naturtex-SZTE-Szedeák;Egis Körmend;74-79;74;79;V;alapszakasz;1488;-12.3;1540;12.3
2022-12-08;Kometa Kaposvári KK;Sopron KC;79-96;79;96;V;alapszakasz;1462;-26.5;1517;26.5
2022-12-09;Arconic-Alba Fehérvár;DEAC;106-78;106;78;H;alapszakasz;1630;5.0;1489;-5.0
2022-12-09;Duna Aszfalt-DTKH Kecskemét;MVM-OSE Lions;89-76;89;76;H;alapszakasz;1505;9.5;1503;-9.5
2022-12-10;Atomerőmű SE;Zalakerámia ZTE KK;99-98;99;98;H;alapszakasz;1468;3.7;1506;-3.7
2022-12-10;Budapesti Honvéd SE;HÜBNER Nyíregyháza BS;83-87;83;87;V;alapszakasz;1274;-11.6;1325;11.6
2022-12-10;Falco-Vulcano Energia KC Szombathely;Naturtex-SZTE-Szedeák;79-74;79;74;H;alapszakasz;1750;0.6;1475;-0.6
2022-12-10;Szolnoki Olajbányász;Egis Körmend;106-55;106;55;H;alapszakasz;1650;10.5;1553;-10.5
2022-12-13;Sopron KC;Egis Körmend;86-80;86;80;H;alapszakasz;1544;5.6;1542;-5.6
2022-12-14;Falco-Vulcano Energia KC Szombathely;Arconic-Alba Fehérvár;90-77;90;77;H;alapszakasz;1751;3.5;1635;-3.5
2022-12-17;DEAC;Budapesti Honvéd SE;71-59;71;59;H;alapszakasz;1484;2.1;1262;-2.1
2022-12-17;Egis Körmend;Falco-Vulcano Energia KC Szombathely;89-95;89;95;V;alapszakasz;1537;-10.3;1754;10.3
2022-12-17;Sopron KC;Duna Aszfalt-DTKH Kecskemét;83-70;83;70;H;alapszakasz;1550;7.2;1515;-7.2
2022-12-17;Naturtex-SZTE-Szedeák;Atomerőmű SE;71-72;71;72;V;alapszakasz;1475;-7.8;1472;7.8
2022-12-17;Zalakerámia ZTE KK;MVM-OSE Lions;82-60;82;60;H;alapszakasz;1503;12.0;1493;-12.0
2022-12-18;HÜBNER Nyíregyháza BS;Kometa Kaposvári KK;78-83;78;83;V;alapszakasz;1336;-11.3;1435;11.3
2022-12-21;Atomerőmű SE;Egis Körmend;88-84;88;84;H;alapszakasz;1480;6.0;1526;-6.0
2022-12-21;Budapesti Honvéd SE;Szolnoki Olajbányász;65-72;65;72;V;alapszakasz;1260;-4.2;1661;4.2
2022-12-21;Duna Aszfalt-DTKH Kecskemét;Zalakerámia ZTE KK;77-94;77;94;V;alapszakasz;1507;-28.1;1515;28.1
2022-12-21;MVM-OSE Lions;Naturtex-SZTE-Szedeák;87-69;87;69;H;alapszakasz;1481;10.7;1467;-10.7
2022-12-21;Sopron KC;HÜBNER Nyíregyháza BS;90-49;90;49;H;alapszakasz;1557;4.2;1325;-4.2
2022-12-22;Kometa Kaposvári KK;DEAC;89-85;89;85;H;alapszakasz;1447;5.9;1486;-5.9
2022-12-28;Falco-Vulcano Energia KC Szombathely;Budapesti Honvéd SE;96-82;96;82;H;alapszakasz;1765;0.2;1256;-0.2
2022-12-28;Egis Körmend;MVM-OSE Lions;89-85;89;85;H;alapszakasz;1520;3.0;1492;-3.0
2022-12-29;Arconic-Alba Fehérvár;Atomerőmű SE;84-76;84;76;H;alapszakasz;1631;2.1;1486;-2.1
2022-12-29;DEAC;Sopron KC;78-89;78;89;V;alapszakasz;1481;-18.4;1561;18.4
2022-12-29;Szolnoki Olajbányász;Kometa Kaposvári KK;86-70;86;70;H;alapszakasz;1665;2.0;1452;-2.0
