Játékos;Szezon;Csapat;Min%;On40;Net40;Net RTG;Net Pace;Net Tm PTS 40;Net Tm RTG;Net Tm Close att. rate;Net Tm 3P att. rate;Net Tm EFG %;Net Tm FT made rate;Net Tm ORB %;Net Tm AST %;Net Tm TOV %;Net Tm BLK %;Net Opp PTS 40;Net Opp RTG;Net Opp Close att. rate;Net Opp 3P att. rate;Net Opp EFG %;Net Opp FT made rate;Net Opp ORB %;Net Opp AST %;Net Opp TOV %;Net Opp BLK %
Sidiki KONÉ;2022-23;NYBS;15.0;-8.6;5.5;6.4;-4.4;-11.7;-10.1;0.019;0.020;-0.080;-0.029;13.0;-8.0;1.2;3.5;-17.2;-16.5;0.037;-0.014;-0.133;0.048;-3.1;-0.6;0.0;-1.6
Zane KNOWLES;2023-24;Atomerőmű SE;14.9;-4.1;-1.3;-1.4;3.8;6.1;2.5;0.054;-0.052;0.031;-0.049;8.9;-6.9;1.7;-3.6;7.4;3.9;0.020;0.020;0.046;0.000;-3.7;-2.5;0.0;-0.1
Kimani LAWRENCE;2023-24;Kecskemét;14.7;-9.8;-9.2;-12.3;2.4;-0.8;-4.7;0.090;-0.080;0.001;0.002;0.0;0.3;0.1;-1.0;8.4;7.6;0.021;-0.003;0.038;-0.014;0.9;-1.8;0.0;0.7
Nigel JOHNSON;2024-25;PVSK;14.6;-12.6;-3.5;-4.2;2.4;0.5;-2.8;-0.062;0.065;0.007;-0.047;-4.9;1.3;-0.7;-0.4;4.0;1.4;-0.030;0.024;-0.013;-0.013;3.0;0.5;-0.7;-1.1
Derrick WOODS;2023-24;Atomerőmű SE;14.3;-18.5;-18.0;-25.6;-4.8;-12.8;-10.5;0.005;0.025;-0.024;0.018;-4.3;4.1;3.1;-1.6;5.2;15.1;0.026;0.001;0.055;0.032;1.2;12.2;0.0;-0.1
DÓCS Benedek;2024-25;Bp. Honvéd;14.3;0.0;4.0;5.6;-0.8;-4.3;-4.7;-0.010;-0.013;-0.047;-0.036;4.0;-4.7;0.5;2.3;-8.4;-10.3;-0.042;0.054;-0.065;0.055;-2.2;6.5;-1.1;0.2
BENKE Krisztián;2023-24;NKA Pécs;14.2;-7.4;-8.1;-10.9;-0.2;-6.8;-8.8;0.007;0.009;-0.072;0.039;0.5;-5.8;-0.6;-0.6;1.3;2.1;-0.009;0.014;0.016;-0.026;3.7;0.1;0.0;0.3
GARAMVÖLGYI Ákos;2023-24;DEAC;14.0;-9.0;-6.1;-8.9;-1.6;-1.7;0.0;-0.074;0.100;-0.018;-0.054;4.8;-4.1;-0.9;-2.8;4.4;8.9;0.012;-0.014;0.085;-0.043;1.6;0.4;0.0;5.2
A.J. JOHN;2023-24;Oroszlány;13.9;-13.6;-16.8;-22.5;-2.2;-12.6;-13.5;0.000;0.022;-0.056;-0.109;-1.0;0.8;0.9;0.4;4.2;9.0;0.017;0.027;0.060;-0.022;-1.3;-0.9;0.0;0.8
TÓTH Barna;2022-23;Kecskemét;13.9;4.0;7.1;10.1;-4.8;3.0;12.0;0.087;-0.070;0.004;0.039;11.8;-4.0;-3.8;0.4;-4.1;1.9;-0.018;0.037;-0.034;0.046;-1.9;10.9;0.0;-1.4
BALÁZSI Soma;2022-23;DEAC;13.8;0.6;2.5;3.5;-8.0;-9.6;-1.4;0.042;-0.044;-0.021;-0.019;0.0;3.7;-1.7;-1.1;-12.1;-4.9;-0.042;0.024;-0.018;0.050;-4.5;-5.4;0.0;-0.8
ANDA Dávid;2024-25;Szedeák;13.6;-16.4;-9.0;-13.3;-2.0;-12.0;-14.2;0.081;-0.085;-0.077;0.048;-0.3;-5.5;3.4;-0.6;-3.0;-0.9;-0.006;0.013;-0.005;0.009;0.1;5.3;0.1;2.5
Rakeem BUCKLES;2023-24;DEAC;13.3;-0.6;3.6;5.1;0.7;-2.9;-5.1;0.013;-0.045;-0.034;0.029;2.5;0.4;0.5;0.1;-6.5;-10.2;0.066;-0.040;-0.061;-0.004;0.5;-1.6;0.0;0.0
SÖVEGJÁRTÓ Ábel;2023-24;Atomerőmű SE;13.3;-1.2;2.1;2.7;-1.3;1.2;3.6;0.007;-0.021;0.020;0.029;-4.8;-3.0;-1.0;-3.1;-0.9;0.9;0.027;-0.040;0.033;-0.004;-3.3;0.5;0.0;4.3
DOKTOR Péter;2022-23;Körmend;13.2;-15.0;-14.9;-21.9;-6.6;-13.6;-9.0;0.011;-0.036;-0.044;0.017;7.7;0.9;3.6;-4.9;1.3;12.9;0.012;0.023;0.027;0.110;8.4;1.0;0.0;-1.3
FLASÁR Zalán;2024-25;Sopron;13.0;8.7;7.8;10.6;-0.5;12.2;17.5;0.046;-0.020;0.022;0.084;7.0;8.7;-3.5;-1.7;4.4;6.8;-0.040;0.025;0.046;0.039;2.0;2.7;-0.2;-0.1
Jaylon TATE;2024-25;Szedeák;13.0;-17.3;-10.0;-12.8;4.3;0.4;-5.3;0.059;-0.070;-0.036;0.055;-6.3;-13.7;-0.7;-1.9;10.5;7.4;0.022;-0.038;0.038;-0.055;4.0;6.7;-0.8;3.5
KOLLÁR Bence;2024-25;NKA Pécs;12.9;5.5;5.6;7.6;0.2;-0.1;-0.5;0.053;0.005;-0.015;-0.015;-7.4;5.6;-4.4;0.8;-5.7;-8.2;-0.021;0.059;-0.034;0.049;-2.1;-5.6;3.5;0.9
FAZEKAS Máté;2022-23;Kecskemét;12.7;-6.6;-5.2;-7.2;-0.7;-7.6;-9.5;0.006;-0.014;0.005;-0.081;-1.2;3.3;3.6;1.0;-2.4;-2.3;-0.019;0.011;-0.041;0.006;7.8;2.2;0.0;-1.1
CSUTI Kornél;2022-23;ZTE;12.7;-10.9;-12.9;-17.2;1.8;-3.3;-7.2;0.039;-0.050;0.001;-0.069;-5.4;-1.5;1.5;-0.1;9.6;10.0;0.058;-0.037;0.031;0.040;6.9;-1.4;0.0;2.3
Jaycee HILLSMAN;2022-23;NYBS;12.7;-15.2;-2.3;-3.3;-0.8;-0.3;0.6;-0.062;0.028;0.004;0.007;-1.0;-8.1;1.7;-2.6;2.0;3.9;-0.048;0.033;0.051;-0.062;2.7;2.5;0.0;-3.4
GÁSPÁR Mátyás;2023-24;Oroszlány;12.5;3.1;2.5;3.5;-5.8;-13.7;-9.8;0.056;-0.026;-0.078;-0.034;-0.3;-8.1;-2.5;-0.7;-16.2;-13.3;0.002;0.043;-0.060;-0.023;-5.5;1.3;0.0;2.5
Derek JACKSON;2023-24;Kaposvár;12.4;-4.6;-0.6;-0.8;1.4;-9.1;-14.7;0.082;-0.046;-0.056;-0.016;-5.6;0.1;2.3;1.5;-8.5;-13.9;0.007;0.009;-0.045;-0.103;-0.2;9.6;0.0;2.9
KRIVACSEVICS Markó;2022-23;Falco KC;12.4;3.1;-10.2;-13.7;-4.1;-8.4;-5.0;0.043;-0.033;-0.043;0.084;10.2;-9.3;0.7;2.6;1.8;8.7;-0.007;-0.008;0.015;0.016;1.3;1.0;0.0;-0.5
Marek DOLEŽAJ;2022-23;NYBS;12.3;-15.8;-3.0;-4.0;0.2;-7.9;-10.6;-0.103;0.051;-0.043;0.017;-6.0;-1.4;1.3;-1.8;-4.9;-6.6;-0.040;0.045;-0.055;0.001;2.9;-1.4;0.0;-2.2
GILSZKI Erik;2022-23;Szolnok;12.3;-1.1;-10.7;-15.2;-1.6;-9.2;-10.5;-0.022;0.022;-0.023;-0.030;-3.4;5.5;1.0;-0.9;1.5;4.7;0.067;-0.059;0.030;0.025;0.0;0.2;0.0;3.2
PAJOR Dávid;2023-24;Atomerőmű SE;12.2;1.6;5.3;7.3;-7.4;-5.5;4.0;0.048;-0.055;0.031;-0.047;1.0;-0.3;0.2;-2.2;-10.8;-3.3;-0.082;0.054;-0.002;-0.035;-8.0;13.5;0.0;0.5
Shane HENRY;2023-24;NKA Pécs;12.0;6.9;8.4;11.0;-0.3;-5.2;-6.6;0.038;-0.029;-0.015;0.025;0.7;15.2;1.5;4.2;-13.6;-17.6;-0.048;0.011;-0.094;0.031;0.0;-2.7;0.0;1.6
Chico CARTER Jr.;2024-25;Oroszlány;12.0;3.7;12.4;16.8;1.1;-0.4;-2.2;0.018;-0.019;0.027;0.035;-2.4;4.7;3.7;-0.2;-12.8;-19.0;0.041;-0.079;-0.119;-0.031;0.1;-12.9;0.0;-2.9
Nick BANYARD;2023-24;Sopron;11.9;-22.4;-18.8;-25.6;0.0;-10.5;-14.3;0.045;-0.072;-0.050;0.051;-5.2;-3.8;1.1;-0.3;8.3;11.3;-0.058;0.050;0.045;-0.104;5.0;-5.5;0.0;-3.6
MAYER Ákos;2024-25;Szedeák;11.4;-12.0;-3.9;-5.4;0.1;-4.6;-6.6;-0.036;0.033;-0.060;0.056;4.3;-2.9;-0.8;-4.2;-0.8;-1.2;0.001;0.023;-0.002;0.072;3.0;-0.8;3.4;2.3
Keenan GUMBS;2022-23;DEAC;11.4;-8.7;-8.0;-10.6;4.6;-6.7;-15.7;-0.021;-0.009;-0.059;-0.041;4.8;-14.2;5.7;1.4;1.3;-5.1;0.002;-0.033;-0.006;-0.026;-0.6;-9.8;0.0;2.5
Selim FOFANA;2024-25;Sopron;11.4;-0.2;-2.4;-3.3;-2.5;-7.7;-6.7;0.033;-0.009;-0.007;0.022;-2.0;-4.3;2.3;1.2;-5.3;-3.5;0.048;-0.025;-0.033;-0.025;-1.9;2.3;-2.2;3.2
Devonte GREEN;2022-23;Atomerőmű SE;11.3;-2.2;-3.1;-4.2;0.0;-7.3;-10.0;-0.072;0.064;-0.053;-0.025;3.6;1.5;5.1;3.8;-4.2;-5.8;0.028;-0.041;0.006;0.002;3.1;-2.8;0.0;4.4
VERASZTÓ Péter;2023-24;Falco KC;11.3;4.2;-18.4;-23.2;-12.7;-16.3;-0.4;0.021;-0.007;0.004;0.088;-4.5;4.9;-1.6;-3.0;2.1;22.8;0.003;0.006;0.084;-0.014;6.0;2.7;0.0;-3.2
RÁTGÉBER Tamás;2024-25;NKA Pécs;10.9;9.9;10.3;14.6;-3.3;-2.4;1.5;-0.065;0.032;-0.003;-0.009;0.3;-6.0;-1.4;-4.0;-12.8;-13.1;-0.008;0.033;-0.087;-0.037;2.8;7.5;0.9;0.5
FAZEKAS Máté;2023-24;Kaposvár;10.9;-4.3;-0.3;-0.3;1.8;-3.9;-8.2;-0.026;0.030;-0.020;0.030;-3.5;10.1;2.5;4.3;-3.6;-7.9;-0.008;0.006;-0.017;-0.042;-3.6;5.2;0.0;-0.7
KÖRMENDI Bence;2023-24;Kecskemét;10.8;-2.3;-0.4;-0.7;-1.8;-1.3;0.9;-0.003;0.033;0.007;0.007;0.5;-0.9;-2.5;-0.2;-0.9;1.6;-0.014;0.023;-0.049;0.004;1.0;3.7;0.0;-0.6
MOKÁNSZKI Máté;2022-23;NYBS;10.8;-19.2;-6.7;-8.5;1.3;-0.1;-1.7;0.006;0.001;-0.014;0.028;-7.7;3.7;-0.6;-3.2;6.6;6.8;0.012;-0.057;0.059;0.001;2.3;4.7;0.0;0.8
KÉKESI Kolos;2023-24;Atomerőmű SE;10.7;5.7;9.8;13.3;-2.3;5.6;11.2;-0.057;-0.002;0.055;0.081;-1.5;4.7;-0.9;2.0;-4.2;-2.1;-0.073;0.029;-0.013;-0.030;0.4;-8.7;0.0;-0.5
SÁGODI Róbert;2023-24;DEAC;10.5;-4.9;-1.3;-1.8;-0.8;-11.5;-15.1;-0.024;0.027;-0.079;0.032;-3.4;11.7;0.3;-1.8;-10.2;-13.3;0.003;-0.039;-0.098;0.000;-2.0;-3.7;0.0;-0.4
Myles CARTER;2023-24;Körmend;10.3;2.2;7.0;9.3;-1.3;-5.9;-6.2;-0.006;-0.008;-0.039;-0.014;-4.8;0.6;-2.1;1.5;-12.9;-15.5;0.008;0.004;-0.089;0.002;-5.8;8.3;0.0;-1.7
MEZŐFI Márk;2024-25;NKA Pécs;10.3;4.8;4.6;6.6;-4.1;-4.2;0.3;0.023;0.004;-0.016;-0.007;2.1;0.5;-1.6;-0.2;-8.9;-6.3;0.047;-0.025;-0.035;-0.037;1.9;-4.6;0.8;3.6
Darrin GOVENS;2023-24;Atomerőmű SE;10.2;-13.6;-11.8;-16.8;-4.1;-14.9;-14.6;0.012;0.008;-0.051;0.036;-5.4;4.2;3.6;-2.4;-3.1;2.2;0.005;0.018;0.008;0.030;2.6;7.9;0.0;0.9
Dayon GRIFFIN;2022-23;Szolnok;10.1;4.8;-3.9;-5.7;0.6;-9.5;-14.4;-0.046;0.065;-0.073;-0.008;0.4;7.3;1.5;1.0;-5.6;-8.7;-0.033;0.037;-0.005;-0.065;-5.2;-6.0;0.0;0.7
Marko ŠINIK;2024-25;Kecskemét;9.9;-15.5;-11.3;-15.5;2.1;-3.7;-8.3;0.067;-0.022;-0.049;0.084;0.8;1.4;0.6;-1.8;7.6;7.2;0.078;-0.004;0.049;-0.100;-4.3;4.2;-2.1;-0.2
HERGER Salamon;2024-25;NKA Pécs;9.9;-17.8;-20.5;-28.0;-0.4;-10.2;-13.4;-0.062;0.049;-0.077;-0.018;-1.8;-16.8;0.7;-6.1;10.2;14.6;0.020;0.026;0.082;0.079;-3.2;16.5;-1.1;4.2
Ibrahim SYLLA;2023-24;Körmend;9.8;-3.4;0.7;1.2;2.9;1.4;-2.4;-0.041;0.051;0.001;-0.062;4.4;-15.7;2.0;0.2;0.7;-3.6;-0.035;0.001;0.023;0.005;-8.8;13.5;0.0;2.1
MAYER Ákos;2023-24;Szedeák;9.8;3.7;6.2;8.2;-2.5;1.2;5.4;-0.044;0.020;0.053;0.121;2.4;-4.5;2.5;0.6;-5.0;-2.8;-0.082;0.103;-0.034;0.018;7.2;-3.5;0.0;-1.5
Quinton GREEN;2023-24;ZTE;9.8;6.3;12.0;15.9;4.5;10.5;7.1;0.061;-0.010;0.024;0.001;5.2;0.2;-0.7;1.9;-1.5;-8.8;0.019;-0.042;-0.017;-0.030;-2.0;-12.9;0.0;-4.2
SCHMERA Gergely;2023-24;Körmend;9.7;-26.8;-25.1;-35.5;-4.1;-23.0;-25.9;-0.034;0.003;-0.111;-0.057;-5.6;2.8;2.2;0.2;2.1;9.6;0.060;-0.032;0.021;0.060;3.4;-0.9;0.0;4.5
VERASZTÓ Péter;2022-23;Falco KC;9.6;3.6;-9.2;-12.5;-3.0;-10.2;-9.4;0.011;-0.014;-0.020;0.061;3.9;0.7;5.3;2.2;-1.0;3.1;0.006;0.015;-0.040;0.053;4.0;5.1;0.0;3.7
Quentin HARDRICT;2024-25;Bp. Honvéd;9.4;-23.9;-22.5;-30.4;1.5;-9.4;-14.9;0.058;-0.028;-0.068;-0.042;2.6;-3.6;2.5;0.4;13.1;15.5;0.004;0.011;0.081;0.028;9.4;6.9;0.8;2.4
Prince ODURO;2024-25;Atomerőmű SE;9.3;12.6;1.8;2.9;-2.1;-3.8;-1.6;-0.055;0.048;-0.004;-0.055;5.0;-0.8;3.1;3.4;-5.5;-4.5;0.028;-0.027;-0.046;-0.016;4.2;2.4;-1.5;-0.5
WERNER Viktor;2022-23;Oroszlány;9.0;-5.8;-4.1;-5.9;-2.5;-1.7;1.6;0.009;-0.013;0.034;-0.104;1.6;0.0;0.6;-2.3;2.4;7.5;0.046;-0.035;0.067;-0.161;2.5;0.2;0.0;0.7
PERINGER Balázs;2024-25;Szolnok;8.6;-15.5;-21.4;-29.4;-2.8;-18.2;-20.7;0.004;0.028;-0.105;-0.016;-1.1;-4.7;0.2;2.2;3.2;8.7;-0.056;0.088;-0.054;0.043;6.5;-6.9;-4.7;0.9
Andrew SMITH;2024-25;Alba Fehérvár;8.5;-0.3;-0.2;-0.2;3.3;-0.4;-5.7;-0.036;0.052;0.011;-0.047;-4.1;14.6;3.3;4.8;-0.2;-5.5;0.053;-0.073;-0.033;-0.021;4.2;-1.0;1.2;-2.4
SITKU Márton;2024-25;ZTE;8.2;5.6;6.3;8.4;1.3;-3.2;-6.3;-0.084;0.136;-0.054;0.041;-7.4;-1.7;-1.3;1.7;-9.5;-14.7;-0.009;-0.026;-0.061;-0.028;0.2;-2.0;3.1;1.9
HERCZEG Kristóf;2023-24;Körmend;8.2;-18.3;-15.5;-23.0;-7.0;-22.4;-21.1;-0.061;0.039;-0.071;-0.034;-12.5;-4.1;0.8;2.5;-6.9;1.9;0.028;0.001;-0.020;0.033;4.3;-2.3;0.0;0.6
CSIZMADIA Attila;2024-25;ZTE;8.1;-9.6;-10.2;-14.5;-3.4;-11.0;-10.2;-0.028;0.009;-0.032;0.011;-10.2;-6.6;-2.0;-0.8;-0.8;4.3;-0.067;0.068;0.008;0.051;-6.8;-4.6;-1.6;0.3
WERNER Viktor;2024-25;Oroszlány;7.9;-11.2;-4.3;-6.4;-2.7;-6.6;-5.4;-0.047;0.066;-0.032;-0.023;7.3;-6.6;2.4;0.7;-2.3;1.1;-0.038;0.069;-0.014;0.083;-3.4;13.5;-0.6;-3.9
KAROSI Gergely;2022-23;Atomerőmű SE;7.8;-15.9;-17.8;-25.8;-5.1;-14.1;-12.5;-0.027;0.062;0.015;-0.032;-11.0;-4.1;6.5;-1.2;3.7;13.3;0.010;0.031;0.048;0.004;11.4;-3.7;0.0;-1.2
SÖVEGJÁRTÓ Ábel;2024-25;Falco KC;7.7;20.9;2.2;2.9;0.2;-1.3;-2.2;0.010;0.001;0.003;0.023;2.0;-9.5;0.6;7.7;-3.6;-5.2;0.035;-0.036;-0.061;0.191;6.0;6.0;3.6;1.3
CZERMANN Patrik;2023-24;DEAC;7.7;-11.4;-8.4;-11.9;-0.9;-3.8;-3.9;0.046;-0.062;-0.024;-0.053;-1.6;-10.1;-1.5;-4.7;4.6;8.0;-0.028;0.022;0.008;-0.045;6.1;6.8;0.0;3.9
FAZEKAS Máté;2024-25;Alba Fehérvár;7.7;-17.3;-18.6;-23.4;5.7;0.8;-7.6;-0.033;0.002;-0.042;-0.025;-5.7;1.2;-2.5;-1.7;19.4;15.9;-0.008;-0.004;0.066;0.033;7.3;-8.2;-0.5;0.5
Adam KEMP;2022-23;Alba Fehérvár;7.4;16.4;7.8;11.1;-1.4;-4.3;-3.6;-0.042;-0.088;-0.004;-0.046;1.0;-5.2;-0.5;3.7;-12.1;-14.7;-0.155;0.033;-0.106;0.010;-3.1;-6.0;0.0;3.6
WERNER Viktor;2023-24;Oroszlány;7.4;-6.0;-7.5;-10.2;-5.1;-14.7;-12.3;-0.022;-0.037;-0.035;-0.089;7.9;-15.8;4.6;1.4;-7.2;-2.1;0.013;-0.042;-0.007;0.000;-2.4;5.0;0.0;0.4
SCHÖLL Richárd;2023-24;Sopron;7.2;-34.9;-31.3;-39.9;4.9;-15.7;-27.0;-0.011;0.053;-0.101;0.072;-9.9;-4.3;4.1;2.1;15.6;12.9;0.065;-0.031;0.034;0.065;0.7;4.7;0.0;4.0
SCHÖLL Richárd;2022-23;Sopron;7.1;5.7;3.3;5.2;-5.9;-5.4;1.8;-0.085;0.109;-0.020;-0.050;3.9;8.5;-1.9;-5.2;-8.7;-3.4;-0.061;0.026;0.003;-0.045;-4.8;7.5;0.0;1.1
Emmanuel LITTLE;2023-24;Szolnok;6.5;-12.9;-13.2;-17.5;1.2;-13.0;-19.0;-0.011;-0.036;-0.099;0.074;3.5;-17.8;4.3;3.0;0.2;-1.5;0.063;-0.053;-0.054;0.007;6.2;-8.0;0.0;-1.9
LADOVSZKY János;2024-25;Kecskemét;6.4;-44.6;-42.0;-58.4;1.7;-22.3;-33.7;0.019;-0.010;-0.117;-0.092;-4.4;0.9;7.0;1.7;19.7;24.7;0.074;-0.014;0.101;0.210;3.9;15.6;-2.4;1.5
SZALAY Domonkos;2022-23;ZTE;6.4;-8.9;-10.0;-13.8;-1.4;-4.6;-4.2;-0.031;0.058;-0.031;0.020;5.0;-13.2;2.5;-0.9;5.4;9.6;-0.055;0.056;-0.002;0.040;-0.6;10.1;0.0;-2.5
LALUSKA Bence;2024-25;Szedeák;6.4;-1.3;7.8;11.0;3.0;7.1;5.6;0.083;-0.062;0.001;0.103;8.3;-4.3;-0.6;-1.0;-0.7;-5.4;0.044;-0.010;-0.019;0.087;1.2;11.1;7.0;4.7
GÉRINGER Gergő;2024-25;Atomerőmű SE;6.1;-4.7;-16.8;-22.9;-1.6;-8.2;-8.8;-0.059;0.049;-0.014;0.117;1.3;-5.3;3.2;2.8;8.6;14.2;0.055;-0.032;-0.006;0.033;8.6;-1.6;-4.9;-1.4
MAYER Ákos;2022-23;Szedeák;6.1;-5.4;-4.3;-6.5;-4.4;-13.1;-12.0;-0.057;0.067;-0.019;0.099;-9.1;3.4;5.1;-2.8;-8.8;-5.5;0.010;0.040;-0.036;-0.009;-3.1;-13.2;0.0;-0.2
CSÁTALJAY Péter;2024-25;ZTE;5.9;-12.3;-12.8;-18.0;-2.5;-8.5;-8.0;-0.103;0.121;-0.108;0.281;-9.1;8.8;-2.6;-0.4;4.3;10.0;0.053;-0.037;0.075;-0.004;2.4;-12.1;1.8;7.2
SEBŐK András;2022-23;Szolnok;5.9;-0.5;-9.4;-13.1;-5.3;-9.0;-4.0;0.062;-0.063;-0.041;0.039;1.5;-11.5;-1.1;0.0;0.4;9.1;0.013;-0.001;0.001;0.016;8.2;7.2;0.0;-4.0
TAKÁCS Dániel;2022-23;Bp. Honvéd;5.9;-15.0;-8.0;-13.0;-6.4;-11.1;-7.1;0.004;-0.010;-0.049;-0.031;3.5;9.8;0.5;-4.3;-3.1;5.9;0.044;0.015;0.005;0.105;3.9;15.0;0.0;0.4
VÁRSZEGI Ádám;2024-25;DEAC;5.8;8.1;7.7;10.5;2.0;-1.5;-4.9;0.052;-0.039;-0.009;-0.031;6.5;-12.2;3.3;4.4;-9.2;-15.4;0.067;-0.055;-0.085;0.058;-2.7;5.1;-0.1;0.8
CSIZMADIA Attila;2022-23;Atomerőmű SE;5.7;-5.4;-6.3;-9.0;-5.4;-14.9;-13.0;-0.023;0.068;-0.041;-0.060;-7.8;11.6;0.2;0.9;-8.6;-4.0;0.104;-0.057;-0.089;0.048;14.1;-3.1;0.0;0.1
KOVÁCS Ákos;2024-25;Atomerőmű SE;5.7;-6.0;-18.0;-24.8;-3.5;-10.8;-9.3;-0.034;0.066;-0.031;-0.026;-0.2;6.9;4.0;-2.9;7.2;15.5;0.017;-0.002;0.097;0.066;-1.1;0.4;-0.8;-0.1
VERASZTÓ Péter;2024-25;Falco KC;5.6;12.6;-6.6;-8.9;-0.6;-5.3;-6.2;-0.043;0.058;-0.002;0.024;-2.8;-7.6;1.4;9.5;1.3;2.7;0.043;-0.021;-0.033;0.177;3.1;5.5;-0.2;-0.6
BONIFERT Bendegúz;2022-23;NYBS;5.4;0.0;14.0;18.4;-8.2;-2.5;8.2;-0.011;-0.021;0.031;0.123;-9.1;0.6;-3.5;-0.3;-16.5;-10.2;0.018;0.012;-0.078;-0.009;-1.2;1.5;0.0;-2.7
GULYÁS Milán;2023-24;Atomerőmű SE;5.3;2.1;5.4;7.4;-4.5;-11.3;-8.9;-0.016;0.050;-0.012;0.000;-9.5;12.6;1.9;-1.5;-16.7;-16.3;0.017;0.053;-0.056;-0.066;-3.2;14.1;0.0;3.6
NÉMETH András;2024-25;PVSK;5.1;-11.8;-2.3;-3.3;-0.6;-1.6;-1.4;-0.009;0.043;0.093;-0.032;-14.0;-5.8;3.9;2.6;0.7;1.9;0.027;-0.014;0.013;-0.021;1.3;1.7;1.6;-2.9
ARABO Abraham;2023-24;Szolnok;5.0;-16.2;-16.5;-23.1;-3.5;-25.9;-30.7;-0.025;0.038;-0.156;-0.099;-0.2;-17.1;1.6;-1.7;-9.4;-7.6;0.014;-0.018;-0.092;0.005;4.0;2.9;0.0;12.9
KÉKESI Kolos;2022-23;Atomerőmű SE;4.9;-18.6;-20.1;-30.4;-7.8;-19.3;-16.3;0.028;0.036;-0.043;-0.122;-4.9;-10.6;0.4;-0.1;0.8;14.1;-0.014;-0.010;0.045;-0.031;8.7;11.8;0.0;-0.9
PALLAI Tamás;2022-23;Szolnok;4.6;1.8;-6.8;-9.7;1.5;-7.3;-12.6;0.049;-0.046;0.004;0.001;-1.8;2.7;6.6;3.8;-0.5;-2.9;-0.028;0.012;-0.020;-0.060;2.9;-6.2;0.0;0.7
BALOGH Máté;2022-23;Körmend;4.4;-2.4;-0.3;-0.8;-9.1;-12.8;-3.9;0.021;-0.043;-0.061;0.044;4.5;-3.4;-1.3;-6.1;-12.5;-3.1;0.012;0.010;0.011;-0.007;4.5;8.0;0.0;-1.7
CSORVÁSI Milán;2022-23;Kaposvár;4.4;-10.6;-6.9;-8.4;5.9;0.8;-7.3;0.018;-0.055;0.021;-0.010;0.0;0.5;6.3;-1.0;7.7;1.1;-0.059;0.046;-0.038;0.033;2.0;5.0;0.0;3.3
RÁTGÉBER Tamás;2023-24;NKA Pécs;4.3;6.1;6.8;10.1;-8.8;-6.3;5.0;-0.022;0.036;0.029;-0.085;0.9;13.0;-2.3;-1.9;-13.1;-5.1;0.006;-0.021;-0.005;-0.041;-4.2;-7.2;0.0;1.6
LUKÁCSI Gábor;2023-24;NKA Pécs;4.3;-14.5;-14.6;-20.6;-4.5;-7.7;-4.0;-0.006;-0.022;0.001;-0.112;-5.4;-4.9;-0.9;-4.0;6.9;16.6;-0.009;0.043;0.058;-0.058;9.9;0.1;0.0;-4.5
SCHMERA Gergely;2024-25;Körmend;4.2;-8.3;-4.7;-6.4;-1.2;-4.2;-3.8;-0.007;0.022;-0.062;-0.023;5.7;-7.4;-3.9;-4.2;0.5;2.5;-0.031;0.066;0.046;0.036;2.6;12.5;2.1;0.7
TAKÁCS Martin;2022-23;Alba Fehérvár;4.0;15.3;6.5;11.8;-9.1;-18.7;-12.0;0.014;-0.074;-0.016;0.076;1.4;13.4;5.0;4.0;-25.2;-23.8;-0.081;-0.037;-0.190;0.108;-5.2;-1.6;0.0;-1.8
REIZINGER Máté;2022-23;Bp. Honvéd;3.9;-13.6;-6.4;-10.7;-6.8;2.0;13.3;0.079;-0.040;0.035;-0.008;3.5;7.6;-4.9;-2.9;8.4;24.0;-0.037;0.017;0.217;0.374;2.9;5.2;0.0;-4.1
TARJÁN Izsák;2022-23;Bp. Honvéd;3.8;-37.1;-30.8;-49.7;-9.4;-22.3;-20.1;-0.002;0.025;-0.097;-0.084;-1.4;3.0;-0.8;-0.5;8.5;29.6;-0.013;0.039;0.130;0.291;0.0;9.8;0.0;1.7
CSÁTALJAY Péter;2022-23;Sopron;3.8;-8.4;-11.6;-16.5;-2.1;-11.2;-12.6;-0.136;0.095;-0.090;-0.037;-7.0;-15.1;-0.4;-7.7;0.4;3.9;-0.011;0.006;-0.018;-0.006;4.4;5.9;0.0;0.5
ANTALICS Dániel;2023-24;Kaposvár;3.8;-8.0;-4.1;-5.6;0.9;-15.7;-23.0;0.077;-0.039;-0.145;-0.006;-0.9;-10.8;-0.4;-0.6;-11.6;-17.4;-0.018;-0.019;-0.048;-0.040;2.3;11.2;0.0;1.2
MAJOR Bulcsú;2024-25;Bp. Honvéd;3.8;-16.4;-13.5;-18.8;-0.7;-14.7;-19.4;0.018;0.043;-0.092;0.029;-9.8;-3.8;2.2;1.4;-1.3;-0.6;0.009;0.010;-0.019;0.156;15.2;8.1;6.0;-2.8
GÁL Csongor;2024-25;DEAC;3.7;-0.8;-1.7;-2.3;5.1;10.2;6.2;0.025;-0.011;0.037;-0.075;3.9;4.0;0.2;-1.7;11.8;8.5;0.042;-0.018;-0.056;0.310;5.7;-10.4;-3.1;-0.5
DÁVID Benjámin;2024-25;Kecskemét;3.6;-3.9;1.4;2.1;1.1;-6.7;-11.1;-0.096;0.091;-0.044;-0.079;5.2;10.5;4.0;4.3;-8.2;-13.2;0.020;-0.003;-0.103;0.082;-3.5;-13.9;-3.9;5.8
