Játékos;Szezon;Csapat;Min%;On40;Net40;Net RTG;Net Pace;Net Tm PTS 40;Net Tm RTG;Net Tm Close att. rate;Net Tm 3P att. rate;Net Tm EFG %;Net Tm FT made rate;Net Tm ORB %;Net Tm AST %;Net Tm TOV %;Net Tm BLK %;Net Opp PTS 40;Net Opp RTG;Net Opp Close att. rate;Net Opp 3P att. rate;Net Opp EFG %;Net Opp FT made rate;Net Opp ORB %;Net Opp AST %;Net Opp TOV %;Net Opp BLK %
BALOGH Szilárd;2024-25;Szedeák;44.5;-9.4;-1.4;-1.9;-0.2;-4.1;-5.4;0.051;-0.039;-0.002;-0.007;1.9;-2.2;3.3;2.0;-2.7;-3.5;0.048;-0.022;-0.011;0.020;4.4;-2.9;2.7;0.3
CAREV Alekszej;2022-23;Oroszlány;44.5;-2.1;-0.1;-0.3;-1.8;-0.3;2.1;-0.003;-0.020;0.012;0.006;-0.3;-4.1;-0.2;1.4;-0.2;2.4;-0.005;0.004;0.008;0.045;1.2;0.3;0.0;-0.4
Miloš BORISOV;2022-23;Kecskemét;44.5;0.0;3.8;5.3;2.0;4.1;2.6;-0.035;-0.002;0.032;0.054;-3.1;-6.2;1.9;-1.6;0.3;-2.7;0.034;-0.046;0.002;-0.002;2.1;-6.6;0.0;1.1
MOLNÁR Márton;2024-25;Sopron;44.4;0.9;-1.7;-2.3;-1.8;-5.5;-4.8;-0.022;-0.006;-0.016;-0.097;3.1;0.7;0.7;-2.5;-3.8;-2.5;0.015;-0.029;-0.037;-0.044;0.5;4.6;-2.0;-0.4
MOLNÁR Márton;2022-23;Sopron;44.4;0.7;-3.6;-4.9;-2.6;2.2;7.2;0.016;0.005;0.001;0.034;8.6;2.9;-1.4;-3.3;5.8;12.1;-0.039;0.037;0.028;0.027;0.5;1.3;0.0;-1.8
KUCSERA Dániel;2023-24;Kecskemét;44.3;-0.5;2.6;3.5;-1.6;-4.3;-3.6;-0.082;0.075;0.009;-0.009;-4.4;3.1;1.8;-1.7;-6.9;-7.1;0.010;0.014;-0.027;-0.004;-2.9;4.2;0.0;-0.6
SIMON Kristóf;2024-25;Bp. Honvéd;43.9;-3.8;-0.6;-0.9;-2.2;-5.7;-4.7;-0.020;0.004;0.017;-0.032;-6.1;0.6;1.2;0.8;-5.2;-3.8;-0.017;0.007;-0.031;-0.007;0.2;5.9;0.6;-0.3
KASS Balázs;2022-23;NYBS;43.9;-15.5;-4.1;-6.2;-3.3;-9.2;-8.0;0.007;0.031;-0.017;-0.063;1.0;4.2;2.1;1.8;-5.1;-1.8;0.031;-0.021;-0.018;0.020;-1.4;-0.6;0.0;2.6
Strahinja JOVANOVIĆ;2023-24;Szolnok;43.9;-6.7;-11.1;-14.6;1.7;-0.2;-2.6;0.043;-0.039;-0.003;0.078;-3.0;-1.8;1.5;-1.5;10.9;12.0;0.028;-0.034;0.070;0.017;1.8;-6.0;0.0;0.8
Antonio JORDANO;2023-24;Falco KC;43.8;12.0;-15.2;-20.3;-0.2;-5.3;-6.8;-0.084;0.062;-0.047;-0.003;-5.5;-0.3;-1.0;-0.4;9.9;13.5;0.048;-0.028;0.068;-0.019;6.8;-3.6;0.0;3.2
TAKÁCS Milán;2024-25;ZTE;43.6;-1.2;-1.7;-2.4;-0.4;-1.8;-1.8;0.005;-0.001;-0.009;-0.007;-0.4;-3.9;0.3;0.3;-0.1;0.5;-0.028;0.037;-0.011;0.070;1.6;3.2;0.6;1.7
