Játékos;Szezon;Csapat;G;Min;Min PG;GmSc;GmSc PG;GmSc 100;adj. GmSc;adj. GmSc PG;adj. GmSc 100;VAL;PER;USG%;% Team Poss;PTS Prod;Floor %;ORtg;DRtg;Net Rtg;OWS;DWS;WS;WS40;MVP Index;Gy;V;Gy%
KÉKESI Kolos;2023-24;Atomerőmű SE;19;149;7.8;34;1.8;12.4;46;2.4;16.9;3.1;11.6;13.7;12.9;44;0.47;124;118;5.9;0.3;0.1;0.4;0.094;64;12;7;63.2
Quinton GREEN;2023-24;ZTE;8;148;18.5;28;3.5;10.3;38;4.8;14.0;8.5;9.3;19.8;19.7;51;0.44;95;112;-16.5;-0.2;0.2;0.0;0.010;31;5;3;62.5
Darrin GOVENS;2023-24;Atomerőmű SE;5;145;29.0;50;10.1;19.0;69;13.7;26.0;16.4;16.7;20.3;19.8;60;0.49;116;115;0.6;0.2;0.1;0.4;0.102;84;0;5;0.0
SÁGODI Róbert;2023-24;DEAC;11;145;13.2;16;1.4;6.0;21;1.9;8.2;4.1;5.7;15.8;16.2;34;0.36;81;100;-19.9;-0.4;0.4;0.1;0.015;20;6;5;54.5
HERGER Salamon;2024-25;NKA Pécs;18;144;8.0;17;0.9;6.4;23;1.3;8.7;2.4;6.0;11.6;12.1;31;0.46;96;113;-16.7;-0.1;0.2;0.1;0.021;23;7;11;38.9
Ibrahim SYLLA;2023-24;Körmend;10;143;14.3;33;3.3;12.5;45;4.5;17.0;7.6;13.8;14.1;14.7;44;0.57;114;114;-0.3;0.1;0.2;0.3;0.084;60;3;7;30.0
Prince ODURO;2024-25;Atomerőmű SE;6;142;23.7;36;6.1;13.7;49;8.2;18.6;13.7;14.3;13.0;14.1;40;0.52;108;102;6.6;0.1;0.4;0.5;0.128;77;4;2;66.7
Marko ŠINIK;2024-25;Kecskemét;5;142;28.5;42;8.5;16.7;57;11.5;22.5;15.6;14.0;26.5;26.8;63;0.42;93;113;-19.3;-0.3;0.2;-0.1;-0.026;34;1;4;20.0
VERASZTÓ Péter;2023-24;Falco KC;32;141;4.4;27;0.9;10.4;37;1.2;14.2;1.4;9.1;14.4;14.1;45;0.48;121;104;16.5;0.2;0.4;0.6;0.164;83;29;3;90.6
Quentin HARDRICT;2024-25;Bp. Honvéd;6;137;22.9;26;4.3;10.4;35;5.8;14.0;9.7;8.6;24.6;25.0;54;0.40;87;123;-35.1;-0.4;0.0;-0.4;-0.118;-11;0;6;0.0
MAYER Ákos;2023-24;Szedeák;19;131;6.9;17;0.9;6.8;24;1.2;9.2;2.1;7.6;11.6;11.5;31;0.47;107;116;-9.0;0.0;0.1;0.1;0.042;29;11;8;57.9
WERNER Viktor;2022-23;Oroszlány;26;130;5.0;20;0.8;8.3;27;1.0;11.3;2.6;10.9;8.7;10.6;31;0.59;123;110;13.2;0.2;0.2;0.4;0.117;52;16;10;61.5
