Játékos;Szezon;Csapat;G;Min;Min PG;GmSc;GmSc PG;GmSc 100;adj. GmSc;adj. GmSc PG;adj. GmSc 100;VAL;PER;USG%;% Team Poss;PTS Prod;Floor %;ORtg;DRtg;Net Rtg;OWS;DWS;WS;WS40;MVP Index;Gy;V;Gy%
Desi WASHINGTON;2022-23;Szedeák;35;1283;36.7;507;14.5;21.8;692;19.8;29.7;25.7;19.6;25.2;26.5;690;0.48;112;109;2.3;2.4;1.8;4.2;0.132;864;14;21;40.0
EILINGSFELD János;2024-25;Atomerőmű SE;38;1260;33.2;527;13.9;22.7;712;18.7;30.7;21.7;21.0;17.3;17.1;558;0.62;140;108;32.3;5.6;2.3;7.9;0.250;1283;30;8;78.9
Đorđe DRENOVAC;2023-24;DEAC;35;1226;35.0;406;11.6;18.7;554;15.8;25.6;18.9;16.2;24.6;23.2;548;0.51;109;111;-2.5;1.0;1.8;2.8;0.091;647;15;20;42.9
Marques TOWNES;2022-23;Kecskemét;36;1207;33.5;441;12.3;20.2;602;16.7;27.6;20.4;17.5;26.2;26.8;595;0.46;102;108;-6.7;0.0;1.9;1.9;0.062;585;18;18;50.0
Đorđe DŽELETOVIĆ;2024-25;PVSK;35;1203;34.4;453;13.0;20.3;613;17.5;27.4;22.1;18.0;23.2;22.2;568;0.52;114;120;-5.1;2.1;0.2;2.4;0.079;649;7;28;20.0
Siyani CHAMBERS;2023-24;Alba Fehérvár;36;1190;33.1;532;14.8;23.5;725;20.1;32.1;25.2;20.3;22.2;23.9;679;0.54;125;110;15.4;4.2;2.0;6.2;0.209;1127;28;8;77.8
Noah LOCKE;2023-24;Szedeák;33;1188;36.0;488;14.8;21.4;665;20.1;29.1;22.5;18.6;29.2;27.2;713;0.50;115;120;-5.3;2.5;0.3;2.8;0.093;718;14;19;42.4
Siyani CHAMBERS;2022-23;Körmend;36;1186;32.9;413;11.5;18.9;564;15.7;25.7;19.8;16.5;24.4;25.3;608;0.50;110;114;-4.2;1.7;0.9;2.6;0.089;668;21;15;58.3
Quincy FORD;2022-23;Alba Fehérvár;37;1179;31.9;436;11.8;20.2;595;16.1;27.6;19.8;19.2;15.9;15.9;428;0.55;125;103;22.2;3.1;2.8;5.9;0.199;1008;26;11;70.3
Darius PERRY;2022-23;NYBS;35;1178;33.7;513;14.7;23.1;700;20.0;31.5;25.2;20.5;32.1;31.7;740;0.47;105;112;-7.3;0.9;1.2;2.1;0.070;680;4;31;11.4
VOJVODA Dávid;2024-25;Alba Fehérvár;35;1177;33.6;493;14.1;22.5;666;19.0;30.4;22.2;19.6;24.5;24.1;646;0.54;122;123;-0.8;3.8;-0.4;3.5;0.118;785;15;20;42.9
Deon EDWIN;2022-23;Atomerőmű SE;35;1174;33.5;507;14.5;23.6;691;19.8;32.2;26.6;20.8;25.6;27.1;662;0.53;114;109;5.0;2.7;1.8;4.5;0.153;886;18;17;51.4
DeAndre GHOLSTON;2023-24;Oroszlány;35;1170;33.4;494;14.1;22.1;674;19.3;30.2;22.4;20.0;27.1;26.4;674;0.51;114;111;2.9;2.2;1.7;3.9;0.134;823;17;18;48.6
Daylen KOUNTZ;2024-25;Körmend;34;1162;34.2;536;15.8;24.5;724;21.3;33.2;24.4;22.2;27.2;26.2;676;0.54;118;118;0.0;3.3;0.4;3.7;0.126;842;16;18;47.1
Jordan BARNETT;2023-24;Alba Fehérvár;36;1124;31.2;511;14.2;23.9;696;19.3;32.6;22.3;22.0;18.6;17.9;520;0.59;136;109;27.9;4.5;2.1;6.6;0.235;1141;28;8;77.8
Shannon BOGUES;2023-24;Kecskemét;35;1121;32.0;449;12.8;22.2;613;17.5;30.2;21.2;19.9;24.2;23.7;564;0.54;117;115;2.4;2.5;1.1;3.6;0.127;747;14;21;40.0
Andre WILLIAMSON;2023-24;DEAC;35;1120;32.0;369;10.5;18.6;502;14.4;25.4;19.1;17.0;16.0;16.0;386;0.57;122;109;13.0;2.2;2.0;4.2;0.152;740;15;20;42.9
Danilo OSTOJIĆ;2022-23;ZTE;38;1117;29.4;387;10.2;18.8;528;13.9;25.6;20.0;17.6;20.5;20.9;494;0.56;115;111;3.4;2.1;1.3;3.4;0.122;720;21;17;55.3
VOJVODA Dávid;2023-24;Alba Fehérvár;36;1107;30.8;508;14.1;24.1;692;19.2;32.9;20.8;20.6;26.4;25.0;650;0.53;124;114;9.7;3.8;1.3;5.0;0.181;990;28;8;77.8
Shane GATLING;2024-25;Bp. Honvéd;36;1106;30.7;476;13.2;23.7;644;17.9;32.1;21.5;20.0;28.4;27.4;641;0.50;117;112;4.9;2.9;1.4;4.3;0.155;838;14;22;38.9
Đorđe DRENOVAC;2022-23;DEAC;32;1102;34.4;497;15.5;25.3;678;21.2;34.6;25.6;22.7;25.3;24.2;570;0.56;120;108;12.5;3.5;1.8;5.3;0.192;937;16;16;50.0
Yasiin JOSEPH;2022-23;Sopron;37;1100;29.7;506;13.7;25.7;690;18.6;35.1;23.1;22.7;26.4;27.3;645;0.53;120;110;9.8;3.9;1.4;5.3;0.193;948;18;19;48.6
D'Mitrik TRICE;2022-23;ZTE;38;1100;28.9;338;8.9;16.6;461;12.1;22.7;14.6;14.4;25.0;24.9;545;0.47;108;116;-8.5;1.2;0.5;1.7;0.061;505;21;17;55.3
Eric LOCKETT;2024-25;Atomerőmű SE;36;1096;30.5;453;12.6;22.5;612;17.0;30.4;20.9;20.7;20.8;20.9;528;0.57;125;104;20.9;3.6;2.5;6.1;0.223;1041;30;6;83.3
BOGNÁR Kristóf;2023-24;Szedeák;36;1093;30.4;405;11.3;19.3;552;15.3;26.3;20.4;18.2;19.4;19.7;481;0.56;116;114;1.9;1.8;1.2;3.0;0.109;655;16;20;44.4
Sage TOLBERT;2023-24;Körmend;32;1092;34.1;471;14.7;23.2;642;20.1;31.6;24.0;21.2;18.8;18.3;482;0.62;130;114;15.3;3.5;1.2;4.7;0.172;869;13;19;40.6
Amorie ARCHIBALD;2024-25;PVSK;30;1088;36.3;540;18.0;26.7;729;24.3;36.1;31.1;23.6;27.1;27.8;665;0.55;118;113;5.4;3.2;1.2;4.4;0.164;912;7;23;23.3
Deon EDWIN;2023-24;DEAC;35;1079;30.8;378;10.8;19.8;516;14.7;27.1;21.6;17.5;23.7;25.5;527;0.50;108;110;-1.3;0.9;1.8;2.7;0.100;611;15;20;42.9
Cortez EDWARDS;2024-25;Sopron;36;1078;29.9;338;9.4;17.1;457;12.7;23.1;16.5;15.3;19.0;20.2;429;0.48;107;107;-0.3;0.6;2.0;2.7;0.099;560;17;19;47.2
Isaiah BIGELOW;2024-25;ZTE;37;1076;29.1;399;10.8;20.1;539;14.6;27.2;19.2;18.0;26.1;24.6;538;0.49;110;109;1.1;1.4;1.8;3.1;0.116;701;18;19;48.6
Michael HUGHES;2022-23;Kaposvár;36;1070;29.7;509;14.2;25.9;695;19.3;35.4;27.0;24.8;22.8;23.0;544;0.59;120;106;14.0;3.2;2.0;5.2;0.195;951;13;23;36.1
Tony HICKS;2023-24;ZTE;35;1070;30.6;431;12.3;21.8;587;16.8;29.8;21.4;19.3;25.9;26.5;590;0.51;113;115;-2.3;1.7;1.0;2.8;0.103;701;15;20;42.9
Isaiah PHILMORE;2022-23;Alba Fehérvár;37;1068;28.9;373;10.1;19.1;509;13.7;26.1;17.3;17.9;17.9;17.6;437;0.59;128;111;16.9;3.4;1.3;4.7;0.178;838;26;11;70.3
WITTMANN Krisztián;2022-23;Kecskemét;36;1067;29.6;248;6.9;12.9;339;9.4;17.6;10.9;11.5;16.3;16.6;343;0.44;107;113;-5.8;0.6;1.0;1.7;0.062;381;18;18;50.0
Đorđe DIMITRIJEVIĆ;2022-23;Oroszlány;34;1064;31.3;388;11.4;20.1;530;15.6;27.5;21.1;18.0;25.5;25.7;551;0.49;111;111;0.4;1.8;1.3;3.1;0.117;649;17;17;50.0
Marko ŠINIK;2023-24;Kecskemét;36;1064;29.6;289;8.0;15.0;394;10.9;20.4;15.4;13.6;21.4;22.6;445;0.45;102;114;-12.1;-0.3;1.1;0.8;0.032;354;15;21;41.7
Đorđe DRENOVAC;2024-25;DEAC;33;1064;32.3;365;11.0;19.1;493;14.9;25.8;18.1;16.2;26.7;25.2;510;0.50;106;108;-1.8;0.6;1.9;2.5;0.094;580;20;13;60.6
Ryan WOOLRIDGE;2023-24;Szedeák;29;1059;36.5;576;19.9;28.3;786;27.1;38.5;32.5;25.8;24.2;25.8;647;0.60;123;114;8.7;3.6;1.1;4.7;0.178;973;12;17;41.4
Liam O'REILLY;2022-23;ZTE;36;1052;29.2;379;10.5;19.5;517;14.4;26.6;18.4;17.4;25.7;26.3;564;0.48;110;113;-2.1;1.7;1.0;2.7;0.104;643;21;15;58.3
BOGNÁR Kristóf;2022-23;Szedeák;35;1049;30.0;348;10.0;18.3;475;13.6;25.0;18.7;17.6;18.1;18.5;399;0.54;114;107;6.3;1.6;1.8;3.4;0.130;637;14;21;40.0
Stefan MIJOVIĆ;2022-23;Bp. Honvéd;36;1046;29.1;396;11.0;20.8;541;15.0;28.4;18.7;18.7;24.8;24.1;522;0.49;114;109;4.3;2.1;1.5;3.6;0.138;701;10;26;27.8
David NICHOLS;2023-24;Sopron;33;1046;31.7;441;13.4;22.9;601;18.2;31.2;22.5;19.4;28.5;28.9;622;0.49;112;114;-2.1;1.7;1.2;2.8;0.108;680;14;19;42.4
Ibrahim DURMO;2023-24;NKA Pécs;34;1044;30.7;459;13.5;23.2;626;18.4;31.7;24.1;20.9;24.8;24.8;551;0.54;113;105;8.0;1.5;2.5;4.1;0.156;802;15;19;44.1
Jordan BARNETT;2022-23;Sopron;34;1043;30.7;368;10.8;19.7;502;14.8;26.9;18.0;18.1;20.2;19.8;433;0.53;117;108;9.5;2.2;1.8;4.0;0.153;713;17;17;50.0
PERL Zoltán;2022-23;Falco KC;37;1032;27.9;586;15.8;31.2;799;21.6;42.6;25.0;27.8;27.7;27.6;675;0.60;130;102;28.0;5.7;2.5;8.2;0.319;1390;30;7;81.1
BENKE Szilárd;2024-25;Atomerőmű SE;31;1029;33.2;330;10.6;17.4;446;14.4;23.5;17.4;15.0;23.4;22.2;473;0.49;112;108;4.1;1.5;1.8;3.3;0.129;656;24;7;77.4
Jabril DURHAM;2022-23;Szolnok;37;1026;27.7;405;11.0;22.3;553;14.9;30.4;18.4;19.3;23.5;25.5;526;0.49;113;103;10.3;2.2;2.4;4.5;0.176;790;27;10;73.0
Tomislav GABRIĆ;2022-23;Kaposvár;33;1025;31.1;316;9.6;16.7;432;13.1;22.8;15.2;15.3;24.9;23.8;485;0.46;108;116;-8.6;1.0;0.5;1.5;0.058;437;13;20;39.4
VOJVODA Dávid;2022-23;Alba Fehérvár;37;1022;27.6;463;12.5;24.8;632;17.1;33.8;18.4;21.8;28.4;26.8;606;0.55;121;112;9.7;3.8;1.1;4.9;0.192;947;26;11;70.3
Tyler THOMAS;2024-25;Alba Fehérvár;35;1022;29.2;418;11.9;21.9;565;16.1;29.7;17.9;20.0;21.9;20.9;493;0.53;124;119;4.6;3.1;0.3;3.3;0.131;701;15;20;42.9
Jay Jay CHANDLER;2024-25;Atomerőmű SE;37;1016;27.5;511;13.8;27.2;690;18.6;36.8;23.5;23.8;32.7;31.0;682;0.51;117;104;13.5;3.1;2.5;5.6;0.219;1049;29;8;78.4
Bojan SUBOTIĆ;2024-25;Szolnok;35;1013;29.0;374;10.7;19.7;505;14.4;26.7;19.4;17.4;21.3;20.5;459;0.54;118;109;10.0;2.2;1.8;4.0;0.158;764;25;10;71.4
Fardaws AIMAQ;2024-25;Szolnok;34;1009;29.7;417;12.3;22.1;564;16.6;29.9;22.6;20.0;24.3;24.3;504;0.53;110;107;2.7;1.2;1.9;3.1;0.124;729;25;9;73.5
Kassim NICHOLSON;2023-24;Atomerőmű SE;29;1000;34.5;417;14.4;22.2;568;19.6;30.3;23.4;19.9;23.2;22.4;505;0.56;120;115;5.2;2.5;1.0;3.5;0.139;708;16;13;55.2
Quenton DECOSEY;2022-23;Alba Fehérvár;37;997;26.9;347;9.4;19.0;473;12.8;26.0;15.2;17.5;19.5;18.6;414;0.55;122;111;11.0;2.6;1.2;3.9;0.155;726;26;11;70.3
Jalen HENRY;2023-24;Bp. Honvéd;34;994;29.2;324;9.5;17.9;442;13.0;24.4;18.7;16.3;22.6;22.2;431;0.50;107;106;1.5;0.5;2.2;2.7;0.111;555;16;18;47.1
Greg LEE;2024-25;Kecskemét;31;992;32.0;312;10.0;17.9;421;13.6;24.2;17.9;15.4;25.2;24.4;436;0.47;103;115;-12.2;0.0;0.8;0.8;0.032;373;12;19;38.7
Duane WILSON;2024-25;Oroszlány;31;991;32.0;365;11.8;20.1;494;15.9;27.2;18.4;17.9;29.4;28.5;546;0.47;106;117;-11.0;0.5;0.6;1.1;0.045;451;9;22;29.0
James EADS;2023-24;Szolnok;37;990;26.8;317;8.6;17.2;433;11.7;23.4;14.6;14.9;21.0;19.5;425;0.53;118;115;3.3;1.9;1.0;2.9;0.116;603;22;15;59.5
Strahinja JOVANOVIĆ;2024-25;Szolnok;35;990;28.3;397;11.3;21.5;536;15.3;29.0;19.8;18.3;23.4;24.4;535;0.52;118;111;7.2;2.6;1.3;3.9;0.159;784;25;10;71.4
PONGÓ Marcell;2022-23;Alba Fehérvár;37;989;26.7;374;10.1;20.7;511;13.8;28.3;17.5;19.1;21.7;22.3;476;0.51;118;107;11.6;2.6;1.8;4.4;0.177;803;26;11;70.3
Kyan ANDERSON;2024-25;DEAC;33;987;29.9;328;9.9;18.5;443;13.4;25.0;16.4;15.7;24.5;24.4;466;0.45;108;107;0.9;0.8;1.9;2.7;0.111;564;20;13;60.6
Kyle RIDDLEY;2023-24;Oroszlány;31;981;31.6;491;15.8;26.3;670;21.6;35.9;26.2;23.6;28.0;27.9;643;0.58;123;114;8.8;3.7;1.0;4.7;0.191;891;14;17;45.2
Dustin THOMAS;2023-24;Szolnok;36;981;27.3;336;9.3;18.3;458;12.7;25.0;17.8;16.0;20.6;20.6;433;0.52;115;112;2.3;1.5;1.3;2.8;0.114;616;21;15;58.3
Petar RAKIĆEVIĆ;2024-25;Kecskemét;32;981;30.7;390;12.2;22.7;527;16.5;30.6;21.0;19.6;24.5;24.2;476;0.49;114;113;1.8;1.9;1.1;3.0;0.123;645;13;19;40.6
Khalid THOMAS;2023-24;Oroszlány;32;980;30.6;439;13.7;23.4;598;18.7;31.8;22.8;22.0;22.1;21.5;505;0.57;125;109;15.9;3.1;1.8;4.8;0.197;845;17;15;53.1
Matt TIBY;2022-23;Falco KC;37;975;26.4;384;10.4;21.7;524;14.2;29.6;18.3;20.2;18.2;17.8;417;0.58;132;103;29.2;3.7;2.3;6.0;0.246;968;30;7;81.1
KELLER Iván;2022-23;ZTE;38;975;25.7;206;5.4;11.5;282;7.4;15.7;9.8;11.0;12.2;11.6;245;0.48;117;113;4.1;1.2;0.9;2.1;0.087;412;21;17;55.3
Mitchell SMITH;2022-23;ZTE;36;973;27.0;451;12.5;25.2;616;17.1;34.4;22.5;24.1;20.2;19.7;482;0.64;136;109;27.4;4.7;1.4;6.1;0.252;1039;21;15;58.3
Bojan SUBOTIĆ;2022-23;Szolnok;37;960;25.9;423;11.4;24.8;577;15.6;33.9;19.5;21.7;25.9;24.1;500;0.54;122;103;18.7;3.3;2.2;5.5;0.229;893;27;10;73.0
EILINGSFELD János;2022-23;Atomerőmű SE;29;959;33.1;411;14.2;23.5;560;19.3;32.0;23.3;21.3;20.9;20.1;451;0.59;128;109;19.3;3.6;1.4;5.0;0.209;850;17;12;58.6
KELLER Ákos;2022-23;Falco KC;37;959;25.9;276;7.4;15.8;376;10.2;21.6;14.0;15.0;15.2;15.5;308;0.53;114;100;14.5;1.3;2.7;4.0;0.166;664;30;7;81.1
Malik MORGAN;2023-24;Körmend;33;959;29.1;358;10.8;20.0;488;14.8;27.2;19.2;17.3;27.1;27.3;523;0.46;107;116;-8.6;0.5;0.9;1.4;0.058;469;14;19;42.4
RUJÁK András;2024-25;Oroszlány;34;959;28.2;143;4.2;8.2;193;5.7;11.0;8.5;7.7;11.2;12.4;214;0.43;98;117;-18.9;-0.4;0.5;0.1;0.004;148;10;24;29.4
Kemal KARAHODŽIĆ;2022-23;Kecskemét;36;956;26.6;404;11.2;23.4;551;15.3;31.9;20.9;21.8;20.9;21.0;436;0.59;120;106;13.5;2.6;1.8;4.3;0.182;762;18;18;50.0
Isaiah PHILMORE;2023-24;Alba Fehérvár;34;955;28.1;383;11.3;21.1;522;15.4;28.8;18.7;19.0;18.5;18.3;446;0.60;134;112;21.7;3.7;1.3;4.9;0.206;854;26;8;76.5
Rytis PIPIRAS;2024-25;Körmend;34;949;27.9;224;6.6;12.6;303;8.9;17.0;12.1;11.8;17.4;17.3;324;0.44;105;118;-12.9;0.2;0.4;0.6;0.027;273;16;18;47.1
WITTMANN Krisztián;2024-25;Kecskemét;33;947;28.7;183;5.6;11.0;248;7.5;14.9;10.4;9.3;18.6;18.7;316;0.42;101;118;-17.1;-0.2;0.3;0.1;0.005;190;13;20;39.4
Fahrudin MANJGAFIĆ;2023-24;NKA Pécs;31;943;30.4;313;10.1;17.6;427;13.8;24.0;17.5;15.1;26.0;24.6;464;0.47;106;111;-4.6;0.3;1.5;1.8;0.077;462;14;17;45.2
PONGÓ Máté;2024-25;DEAC;34;941;27.7;274;8.1;16.3;371;10.9;22.0;13.9;14.7;17.4;18.7;338;0.46;107;104;3.3;0.5;2.3;2.8;0.117;513;20;14;58.8
Isiah BROWN;2023-24;Bp. Honvéd;32;937;29.3;406;12.7;23.8;553;17.3;32.4;21.3;19.9;32.7;31.1;596;0.50;113;111;1.7;1.7;1.5;3.2;0.135;670;16;16;50.0
Ronald JACKSON;2023-24;Kaposvár;34;937;27.6;323;9.5;19.3;440;13.0;26.3;16.9;18.4;19.2;19.0;382;0.54;120;115;5.0;2.0;0.9;2.9;0.123;568;13;21;38.2
Rudi WILLIAMS;2024-25;Körmend;28;937;33.5;513;18.3;29.2;694;24.8;39.5;31.9;26.5;27.6;28.4;619;0.56;124;114;10.3;3.9;0.9;4.8;0.207;956;14;14;50.0
MELEG Gergő;2024-25;NKA Pécs;36;937;26.0;304;8.4;17.7;411;11.4;23.9;16.0;15.8;23.0;22.2;410;0.51;107;106;1.2;0.6;2.0;2.6;0.109;519;20;16;55.6
Petar RAKIĆEVIĆ;2022-23;ZTE;37;932;25.2;359;9.7;20.9;490;13.3;28.5;16.0;19.0;24.2;23.9;464;0.50;113;110;2.5;1.8;1.2;3.0;0.127;648;21;16;56.8
Danilo OSTOJIĆ;2024-25;DEAC;31;931;30.0;368;11.9;22.0;497;16.0;29.7;21.8;19.9;20.9;21.5;422;0.56;118;104;13.5;2.0;2.2;4.2;0.181;733;20;11;64.5
James DICKEY;2023-24;Alba Fehérvár;35;929;26.5;415;11.8;23.5;565;16.2;32.0;23.2;22.1;19.5;19.9;428;0.60;122;101;20.3;2.3;2.6;4.9;0.212;886;28;7;80.0
Wendell MITCHELL;2022-23;Körmend;33;926;28.1;393;11.9;22.9;537;16.3;31.2;19.1;20.7;27.4;26.7;522;0.49;114;112;1.8;2.1;1.0;3.1;0.133;700;19;14;57.6
Noah DICKERSON;2024-25;Oroszlány;34;926;27.2;461;13.5;27.1;622;18.3;36.6;27.1;25.8;22.0;22.0;470;0.63;126;105;20.3;3.2;2.0;5.2;0.226;904;11;23;32.4
SOMOGYI Ádám;2022-23;Alba Fehérvár;37;921;24.9;383;10.4;22.8;523;14.1;31.1;17.5;20.8;24.2;24.6;484;0.52;117;105;12.1;2.4;1.9;4.3;0.188;809;26;11;70.3
MÓCSÁN Bálint;2023-24;DEAC;32;920;28.8;242;7.5;14.9;329;10.3;20.3;12.2;12.7;21.7;20.4;351;0.44;106;112;-5.7;0.3;1.3;1.6;0.069;377;14;18;43.8
Matt TIBY;2023-24;Falco KC;36;917;25.5;411;11.4;24.1;561;15.6;32.8;19.7;21.1;20.1;19.4;442;0.59;133;98;35.3;3.6;3.1;6.7;0.291;1055;31;5;86.1
FERENCZ Csaba;2024-25;Körmend;34;914;26.9;227;6.7;13.2;307;9.0;17.9;11.1;12.7;11.5;10.9;250;0.52;133;120;12.8;2.1;0.1;2.2;0.095;411;16;18;47.1
Stefan KENIĆ;2024-25;Oroszlány;29;914;31.5;276;9.5;16.6;373;12.9;22.5;16.8;14.9;18.8;18.3;355;0.51;117;119;-2.3;1.6;0.2;1.8;0.081;434;9;20;31.0
KJ JACKSON;2024-25;Sopron;30;913;30.4;390;13.0;23.0;527;17.6;31.1;22.3;19.9;30.3;30.2;559;0.50;109;109;0.8;1.2;1.6;2.8;0.123;618;15;15;50.0
Wesley PERSON;2022-23;Szedeák;35;910;26.0;220;6.3;13.3;300;8.6;18.2;10.4;12.2;20.4;18.6;348;0.50;114;116;-2.0;1.4;0.5;1.9;0.084;380;14;21;40.0
WITTMANN Krisztián;2023-24;Kecskemét;34;910;26.8;229;6.7;14.0;313;9.2;19.0;11.0;12.4;18.8;19.0;344;0.46;110;117;-7.0;0.7;0.7;1.4;0.060;341;15;19;44.1
Billy GARRETT;2024-25;ZTE;31;910;29.4;410;13.2;24.4;554;17.9;32.9;20.7;21.0;27.9;27.1;542;0.52;119;113;6.0;2.8;1.0;3.7;0.165;767;17;14;54.8
Mário IHRING;2023-24;Atomerőmű SE;30;907;30.2;381;12.7;22.4;519;17.3;30.6;21.7;19.6;24.5;26.1;516;0.51;116;114;1.9;2.0;1.0;3.0;0.131;630;16;14;53.3
TANOH DEZ András;2022-23;Bp. Honvéd;34;905;26.6;223;6.6;13.5;305;9.0;18.4;13.4;12.7;23.4;22.8;372;0.46;99;111;-11.7;-0.4;1.1;0.7;0.032;280;10;24;29.4
Dayon GRIFFIN;2023-24;Sopron;32;905;28.3;261;8.2;15.7;356;11.1;21.4;14.7;13.4;25.4;24.7;412;0.43;100;114;-13.7;-0.6;1.0;0.4;0.020;294;14;18;43.8
DEMETER Attila;2022-23;Bp. Honvéd;34;904;26.6;144;4.2;8.7;196;5.8;11.9;8.7;8.0;19.2;18.9;261;0.39;84;108;-24.2;-2.1;1.4;-0.7;-0.031;78;10;24;29.4
SIMON Kristóf;2022-23;Bp. Honvéd;32;900;28.1;198;6.2;12.1;270;8.4;16.5;13.6;10.8;20.6;21.6;328;0.40;93;108;-15.1;-1.2;1.5;0.2;0.011;214;8;24;25.0
Rastko DRAMIĆANIN;2022-23;Kecskemét;36;895;24.9;280;7.8;17.3;382;10.6;23.6;13.2;15.7;20.0;19.2;360;0.50;116;113;3.3;1.7;0.8;2.6;0.115;491;18;18;50.0
Ilija ĐOKOVIĆ;2023-24;Bp. Honvéd;33;895;27.1;298;9.0;18.3;406;12.3;24.9;15.4;15.6;23.2;24.0;436;0.46;111;110;1.5;1.1;1.5;2.6;0.117;517;16;17;48.5
De'Quon LAKE;2023-24;Szedeák;36;895;24.9;369;10.2;21.4;503;14.0;29.2;17.8;21.0;18.1;18.0;403;0.65;130;117;13.4;2.9;0.6;3.6;0.159;670;16;20;44.4
Josip BARNJAK;2022-23;Oroszlány;33;894;27.1;342;10.4;21.1;467;14.1;28.8;18.0;19.5;24.5;25.4;460;0.48;112;108;3.5;1.6;1.4;3.0;0.135;595;17;16;51.5
Paul ATKINSON;2022-23;Atomerőmű SE;31;892;28.8;418;13.5;25.7;570;18.4;35.1;22.7;23.5;22.2;21.8;440;0.61;124;107;17.6;3.1;1.6;4.7;0.211;818;15;16;48.4
Stefan POT;2022-23;Falco KC;36;892;24.8;319;8.9;19.6;435;12.1;26.8;17.3;17.7;23.0;24.6;462;0.52;116;104;12.0;2.1;2.0;4.1;0.186;722;30;6;83.3
PERL Zoltán;2024-25;Falco KC;35;890;25.4;574;16.4;35.4;776;22.2;47.9;25.4;30.5;28.7;27.6;625;0.63;140;103;37.0;6.3;2.3;8.6;0.385;1399;31;4;88.6
Remy ABELL;2023-24;Kaposvár;27;889;32.9;380;14.1;23.9;519;19.2;32.6;22.6;20.4;26.9;25.6;492;0.54;121;121;-0.4;2.7;0.1;2.8;0.124;624;9;18;33.3
Tahj EADDY;2023-24;Kaposvár;28;889;31.8;325;11.6;20.3;442;15.8;27.7;16.3;17.9;25.7;24.4;468;0.49;120;125;-5.5;2.4;-0.4;2.0;0.089;485;11;17;39.3
Andre WILLIAMSON;2022-23;Szolnok;34;888;26.1;345;10.1;21.9;470;13.8;29.9;18.4;19.8;19.9;19.5;373;0.57;121;104;17.3;2.4;1.9;4.3;0.195;729;24;10;70.6
VÁRADI Benedek;2024-25;Falco KC;36;887;24.6;380;10.5;23.5;513;14.3;31.8;17.3;20.6;20.5;22.2;461;0.55;129;101;27.4;3.6;2.4;6.0;0.269;953;32;4;88.9
Raymond COWELS;2022-23;Falco KC;35;878;25.1;270;7.7;16.9;369;10.5;23.1;12.1;15.6;21.6;19.8;371;0.47;118;105;13.1;1.9;1.9;3.8;0.173;642;29;6;82.9
FERENCZ Csaba;2022-23;Körmend;39;878;22.5;171;4.4;10.5;234;6.0;14.4;6.9;9.7;16.0;14.8;267;0.45;111;119;-7.8;0.9;0.1;0.9;0.042;264;21;18;53.8
Brandon GARRETT;2024-25;Sopron;36;878;24.4;370;10.3;22.9;500;13.9;30.9;18.3;21.3;22.4;21.9;431;0.60;122;109;13.0;2.5;1.5;4.0;0.183;708;17;19;47.2
De'Monte BUCKINGHAM;2022-23;Atomerőmű SE;27;877;32.5;253;9.4;15.8;345;12.8;21.6;15.5;13.9;20.0;19.8;337;0.48;106;110;-3.2;0.6;1.2;1.8;0.082;399;14;13;51.9
KELLER Iván;2024-25;ZTE;37;876;23.7;201;5.4;12.5;272;7.3;16.9;9.7;11.8;11.2;11.5;223;0.54;120;113;7.6;1.2;1.0;2.2;0.101;414;18;19;48.6
Ibrahim DURMO;2024-25;NKA Pécs;27;872;32.3;372;13.8;23.2;503;18.6;31.3;24.1;20.2;28.1;27.2;476;0.52;109;103;5.7;1.0;2.1;3.1;0.144;640;18;9;66.7
PONGÓ Marcell;2024-25;Falco KC;36;867;24.1;284;7.9;18.0;384;10.7;24.3;14.5;15.9;18.7;19.9;370;0.51;118;101;17.1;1.8;2.4;4.2;0.195;691;32;4;88.9
FILIPOVITY Márkó;2024-25;Alba Fehérvár;30;865;28.8;315;10.5;19.5;426;14.2;26.3;15.7;17.3;20.6;18.3;364;0.50;123;120;2.6;2.2;0.1;2.3;0.106;506;14;16;46.7
Ilari SEPPÄLÄ;2024-25;Kecskemét;28;859;30.7;371;13.2;24.7;501;17.9;33.4;19.9;21.3;26.0;26.1;491;0.50;125;118;7.3;3.5;0.3;3.8;0.179;696;12;16;42.9
RUJÁK András;2022-23;Oroszlány;36;851;23.6;115;3.2;7.5;157;4.4;10.2;6.3;6.8;13.9;14.3;209;0.39;95;114;-19.4;-0.6;0.6;0.0;0.002;115;18;18;50.0
Andre JONES;2022-23;Sopron;29;851;29.3;286;9.8;18.8;390;13.4;25.6;16.2;16.7;24.5;23.8;402;0.50;111;113;-1.6;1.3;0.8;2.2;0.101;486;16;13;55.2
LUKÁCS Norbert;2023-24;Szolnok;31;848;27.4;311;10.0;19.7;424;13.7;26.8;17.1;17.7;16.5;15.7;316;0.57;127;111;15.9;2.1;1.3;3.4;0.160;651;19;12;61.3
Jaka KLOBUČAR;2022-23;Kecskemét;29;847;29.2;268;9.2;17.5;366;12.6;23.9;18.1;15.5;20.1;20.8;344;0.48;108;108;-0.2;0.7;1.4;2.1;0.100;451;14;15;48.3
Imran POLUTAK;2023-24;Oroszlány;35;843;24.1;281;8.0;17.4;384;11.0;23.8;16.6;16.7;24.1;24.2;429;0.54;110;112;-2.2;0.8;1.2;2.0;0.094;448;17;18;48.6
