Játékos;Szezon;Csapat;G;Min;Min PG;PTS;PTS PG;PTS 100;Close made;Close att.;Close made PG;Close att. PG;Close made 100;Close att. 100;Close %;Mid. made;Mid. att.;Mid. made PG;Mid. att. PG;Mid. made 100;Mid. att. 100;Mid. %;2P made;2P att.;2P made PG;2P att. PG;2P made 100;2P att. 100;2P%;3P made;3P att.;3P made PG;3P att. PG;3P made 100;3P att. 100;3P%;FG made;FG att.;FG made PG;FG att. PG;FG made 100;FG att. 100;FG%;EFG%;FT made;FT att.;FT made PG;FT att. PG;FT made 100;FT att. 100;FT%;TS%;Close att. rate;Mid. att. rate;3P att. rate;FT rate
MÓCSÁN Bálint;2024-25;DEAC;18;431;24.0;156;8.7;20.2;10;32;0.6;1.8;1.3;4.1;0.313;2;14;0.1;0.8;0.3;1.8;0.143;12;46;0.7;2.6;1.6;5.9;0.261;37;105;2.1;5.8;4.8;13.6;0.352;49;151;2.7;8.4;6.3;19.5;0.325;0.447;21;23;1.2;1.3;2.7;3.0;0.913;0.483;21.2;9.3;69.5;0.15
Mike MOORE;2022-23;Körmend;15;430;28.7;234;15.6;29.3;32;59;2.1;3.9;4.0;7.4;0.542;8;30;0.5;2.0;1.0;3.8;0.267;40;89;2.7;5.9;5.0;11.1;0.449;43;81;2.9;5.4;5.4;10.1;0.531;83;170;5.5;11.3;10.4;21.3;0.488;0.615;25;29;1.7;1.9;3.1;3.6;0.862;0.639;34.7;17.6;47.6;0.17
Remy ABELL;2024-25;NKA Pécs;14;430;30.7;242;17.3;30.4;56;90;4.0;6.4;7.0;11.3;0.622;8;19;0.6;1.4;1.0;2.4;0.421;64;109;4.6;7.8;8.0;13.7;0.587;23;72;1.6;5.1;2.9;9.0;0.319;87;181;6.2;12.9;10.9;22.7;0.481;0.544;45;65;3.2;4.6;5.7;8.2;0.692;0.576;49.7;10.5;39.8;0.36
KISS Mátyás;2023-24;Körmend;34;428;12.6;77;2.3;9.7;6;15;0.2;0.4;0.8;1.9;0.400;3;6;0.1;0.2;0.4;0.8;0.500;9;21;0.3;0.6;1.1;2.6;0.429;17;52;0.5;1.5;2.1;6.5;0.327;26;73;0.8;2.1;3.3;9.1;0.356;0.473;8;12;0.2;0.4;1.0;1.5;0.667;0.491;20.5;8.2;71.2;0.16
VÖLGYI Marcell;2022-23;Bp. Honvéd;25;427;17.1;115;4.6;14.7;42;66;1.7;2.6;5.4;8.4;0.636;2;5;0.1;0.2;0.3;0.6;0.400;44;71;1.8;2.8;5.6;9.1;0.620;0;2;0.0;0.1;0.0;0.3;0.000;44;73;1.8;2.9;5.6;9.3;0.603;0.603;27;43;1.1;1.7;3.4;5.5;0.628;0.623;90.4;6.8;2.7;0.59
James JEAN-MARIE;2023-24;Kaposvár;18;426;23.7;181;10.1;23.6;64;117;3.6;6.5;8.4;15.3;0.547;9;19;0.5;1.1;1.2;2.5;0.474;73;136;4.1;7.6;9.5;17.8;0.537;2;3;0.1;0.2;0.3;0.4;0.667;75;139;4.2;7.7;9.8;18.2;0.540;0.547;29;47;1.6;2.6;3.8;6.1;0.617;0.565;84.2;13.7;2.2;0.34
HAJDU Péter;2022-23;Bp. Honvéd;34;424;12.5;91;2.7;11.8;19;31;0.6;0.9;2.5;4.0;0.613;2;9;0.1;0.3;0.3;1.2;0.222;21;40;0.6;1.2;2.7;5.2;0.525;15;61;0.4;1.8;1.9;7.9;0.246;36;101;1.1;3.0;4.7;13.1;0.356;0.431;4;8;0.1;0.2;0.5;1.0;0.500;0.435;30.7;8.9;60.4;0.08
KOPÁCSI Ákos;2023-24;Bp. Honvéd;33;420;12.7;55;1.7;7.2;5;12;0.2;0.4;0.7;1.6;0.417;2;7;0.1;0.2;0.3;0.9;0.286;7;19;0.2;0.6;0.9;2.5;0.368;12;53;0.4;1.6;1.6;6.9;0.226;19;72;0.6;2.2;2.5;9.4;0.264;0.347;5;8;0.2;0.2;0.7;1.1;0.625;0.364;16.7;9.7;73.6;0.11
MUCZA Tamás;2024-25;Bp. Honvéd;29;418;14.4;96;3.3;12.7;27;58;0.9;2.0;3.6;7.7;0.466;1;5;0.0;0.2;0.1;0.7;0.200;28;63;1.0;2.2;3.7;8.3;0.444;7;30;0.2;1.0;0.9;4.0;0.233;35;93;1.2;3.2;4.6;12.3;0.376;0.414;19;26;0.7;0.9;2.5;3.4;0.731;0.458;62.4;5.4;32.3;0.28
TAKÁCS Milán;2023-24;Alba Fehérvár;35;417;11.9;92;2.6;11.6;12;19;0.3;0.5;1.5;2.4;0.632;0;7;0.0;0.2;0.0;0.9;0.000;12;26;0.3;0.7;1.5;3.3;0.462;22;65;0.6;1.9;2.8;8.2;0.338;34;91;1.0;2.6;4.3;11.5;0.374;0.495;2;4;0.1;0.1;0.3;0.5;0.500;0.496;20.9;7.7;71.4;0.04
Eric ADAMS;2022-23;Körmend;21;416;19.8;135;6.4;17.6;32;52;1.5;2.5;4.2;6.8;0.615;0;9;0.0;0.4;0.0;1.2;0.000;32;61;1.5;2.9;4.2;8.0;0.525;16;49;0.8;2.3;2.1;6.4;0.327;48;110;2.3;5.2;6.3;14.3;0.436;0.509;23;35;1.1;1.7;3.0;4.6;0.657;0.537;47.3;8.2;44.5;0.32
ZSÍROS Péter;2022-23;ZTE;38;416;10.9;124;3.3;16.2;14;20;0.4;0.5;1.8;2.6;0.700;4;9;0.1;0.2;0.5;1.2;0.444;18;29;0.5;0.8;2.4;3.8;0.621;27;82;0.7;2.2;3.5;10.7;0.329;45;111;1.2;2.9;5.9;14.5;0.405;0.527;7;7;0.2;0.2;0.9;0.9;1.000;0.543;18.0;8.1;73.9;0.06
RUDNER Gábor;2023-24;Szolnok;31;416;13.4;106;3.4;13.7;16;29;0.5;0.9;2.1;3.7;0.552;0;0;0.0;0.0;0.0;0.0;;16;29;0.5;0.9;2.1;3.7;0.552;22;80;0.7;2.6;2.8;10.3;0.275;38;109;1.2;3.5;4.9;14.1;0.349;0.450;8;17;0.3;0.5;1.0;2.2;0.471;0.454;26.6;0.0;73.4;0.16
CSÁTALJAY Péter;2023-24;ZTE;33;415;12.6;87;2.6;11.4;15;24;0.5;0.7;2.0;3.1;0.625;2;10;0.1;0.3;0.3;1.3;0.200;17;34;0.5;1.0;2.2;4.5;0.500;13;43;0.4;1.3;1.7;5.6;0.302;30;77;0.9;2.3;3.9;10.1;0.390;0.474;14;22;0.4;0.7;1.8;2.9;0.636;0.501;31.2;13.0;55.8;0.29
Tristan IKPE;2023-24;ZTE;16;415;25.9;140;8.8;18.8;45;84;2.8;5.3;6.0;11.2;0.536;1;3;0.1;0.2;0.1;0.4;0.333;46;87;2.9;5.4;6.2;11.6;0.529;7;29;0.4;1.8;0.9;3.9;0.241;53;116;3.3;7.3;7.1;15.5;0.457;0.487;27;40;1.7;2.5;3.6;5.4;0.675;0.522;72.4;2.6;25.0;0.35
NÉMETH Ákos;2024-25;Alba Fehérvár;27;412;15.2;96;3.6;12.5;24;42;0.9;1.6;3.1;5.5;0.571;1;6;0.0;0.2;0.1;0.8;0.167;25;48;0.9;1.8;3.3;6.3;0.521;9;22;0.3;0.8;1.2;2.9;0.409;34;70;1.3;2.6;4.4;9.1;0.486;0.550;19;25;0.7;0.9;2.5;3.3;0.760;0.591;60.0;8.6;31.4;0.36
MELEG Gergő;2023-24;NKA Pécs;18;411;22.8;205;11.4;26.1;58;109;3.2;6.1;7.4;13.9;0.532;4;11;0.2;0.6;0.5;1.4;0.364;62;120;3.4;6.7;7.9;15.3;0.517;15;45;0.8;2.5;1.9;5.7;0.333;77;165;4.3;9.2;9.8;21.0;0.467;0.512;36;57;2.0;3.2;4.6;7.3;0.632;0.538;66.1;6.7;27.3;0.35
COHILL Eric;2024-25;Szedeák;34;409;12.0;106;3.1;14.5;28;51;0.8;1.5;3.8;7.0;0.549;1;3;0.0;0.1;0.1;0.4;0.333;29;54;0.9;1.6;4.0;7.4;0.537;10;55;0.3;1.6;1.4;7.5;0.182;39;109;1.1;3.2;5.3;14.9;0.358;0.404;18;26;0.5;0.8;2.5;3.6;0.692;0.439;46.8;2.8;50.5;0.24
HŐGYE Patrik;2023-24;DEAC;29;407;14.0;63;2.2;8.8;12;26;0.4;0.9;1.7;3.6;0.462;1;3;0.0;0.1;0.1;0.4;0.333;13;29;0.4;1.0;1.8;4.0;0.448;12;46;0.4;1.6;1.7;6.4;0.261;25;75;0.9;2.6;3.5;10.4;0.333;0.413;1;2;0.0;0.1;0.1;0.3;0.500;0.415;34.7;4.0;61.3;0.03
Lovre BAŠIĆ;2023-24;Körmend;14;407;29.1;156;11.1;20.1;14;26;1.0;1.9;1.8;3.4;0.538;2;4;0.1;0.3;0.3;0.5;0.500;16;30;1.1;2.1;2.1;3.9;0.533;30;96;2.1;6.9;3.9;12.4;0.313;46;126;3.3;9.0;5.9;16.2;0.365;0.484;34;39;2.4;2.8;4.4;5.0;0.872;0.543;20.6;3.2;76.2;0.31
GÉRINGER Gergő;2023-24;Atomerőmű SE;26;406;15.6;115;4.4;15.1;11;18;0.4;0.7;1.4;2.4;0.611;0;1;0.0;0.0;0.0;0.1;0.000;11;19;0.4;0.7;1.4;2.5;0.579;30;78;1.2;3.0;3.9;10.2;0.385;41;97;1.6;3.7;5.4;12.7;0.423;0.577;3;3;0.1;0.1;0.4;0.4;1.000;0.585;18.6;1.0;80.4;0.03
HŐGYE Patrik;2024-25;DEAC;31;405;13.1;107;3.5;14.8;32;52;1.0;1.7;4.4;7.2;0.615;2;5;0.1;0.2;0.3;0.7;0.400;34;57;1.1;1.8;4.7;7.9;0.596;10;40;0.3;1.3;1.4;5.5;0.250;44;97;1.4;3.1;6.1;13.4;0.454;0.505;9;14;0.3;0.5;1.2;1.9;0.643;0.518;53.6;5.2;41.2;0.14
POLÁNYI Kristóf;2022-23;Szedeák;36;403;11.2;102;2.8;14.0;8;20;0.2;0.6;1.1;2.7;0.400;2;7;0.1;0.2;0.3;1.0;0.286;10;27;0.3;0.8;1.4;3.7;0.370;25;74;0.7;2.1;3.4;10.1;0.338;35;101;1.0;2.8;4.8;13.8;0.347;0.470;7;10;0.2;0.3;1.0;1.4;0.700;0.483;19.8;6.9;73.3;0.10
KOVÁCS Ákos;2024-25;DEAC;27;399;14.8;146;5.4;20.4;56;89;2.1;3.3;7.8;12.5;0.629;1;3;0.0;0.1;0.1;0.4;0.333;57;92;2.1;3.4;8.0;12.9;0.620;3;17;0.1;0.6;0.4;2.4;0.176;60;109;2.2;4.0;8.4;15.3;0.550;0.564;23;39;0.9;1.4;3.2;5.5;0.590;0.577;81.7;2.8;15.6;0.36
KISS Benedek;2024-25;Körmend;33;398;12.1;90;2.7;12.0;12;25;0.4;0.8;1.6;3.3;0.480;2;5;0.1;0.2;0.3;0.7;0.400;14;30;0.4;0.9;1.9;4.0;0.467;18;62;0.5;1.9;2.4;8.3;0.290;32;92;1.0;2.8;4.3;12.3;0.348;0.446;8;15;0.2;0.5;1.1;2.0;0.533;0.456;27.2;5.4;67.4;0.16
FRANK Áron;2022-23;Atomerőmű SE;26;396;15.2;100;3.8;13.8;11;20;0.4;0.8;1.5;2.8;0.550;3;12;0.1;0.5;0.4;1.7;0.250;14;32;0.5;1.2;1.9;4.4;0.438;21;60;0.8;2.3;2.9;8.3;0.350;35;92;1.3;3.5;4.8;12.7;0.380;0.495;9;15;0.3;0.6;1.2;2.1;0.600;0.506;21.7;13.0;65.2;0.16
SZOBI Dániel;2022-23;NYBS;31;395;12.7;48;1.5;6.5;13;23;0.4;0.7;1.8;3.1;0.565;1;2;0.0;0.1;0.1;0.3;0.500;14;25;0.5;0.8;1.9;3.4;0.560;4;22;0.1;0.7;0.5;3.0;0.182;18;47;0.6;1.5;2.4;6.4;0.383;0.426;8;10;0.3;0.3;1.1;1.4;0.800;0.466;48.9;4.3;46.8;0.21
Ognjen MIĆOVIĆ;2024-25;PVSK;19;394;20.7;114;6.0;15.6;34;67;1.8;3.5;4.7;9.2;0.507;0;2;0.0;0.1;0.0;0.3;0.000;34;69;1.8;3.6;4.7;9.4;0.493;11;39;0.6;2.1;1.5;5.3;0.282;45;108;2.4;5.7;6.2;14.8;0.417;0.468;13;20;0.7;1.1;1.8;2.7;0.650;0.487;62.0;1.9;36.1;0.19
TAKÁCS Norbert;2022-23;Sopron;30;393;13.1;94;3.1;13.4;1;3;0.0;0.1;0.1;0.4;0.333;1;1;0.0;0.0;0.1;0.1;1.000;2;4;0.1;0.1;0.3;0.6;0.500;30;75;1.0;2.5;4.3;10.7;0.400;32;79;1.1;2.6;4.6;11.3;0.405;0.595;0;0;0.0;0.0;0.0;0.0;;0.595;3.8;1.3;94.9;0.00
Maliek WHITE;2022-23;Sopron;15;392;26.1;178;11.9;25.5;34;74;2.3;4.9;4.9;10.6;0.459;7;17;0.5;1.1;1.0;2.4;0.412;41;91;2.7;6.1;5.9;13.0;0.451;25;75;1.7;5.0;3.6;10.7;0.333;66;166;4.4;11.1;9.4;23.7;0.398;0.473;21;35;1.4;2.3;3.0;5.0;0.600;0.490;44.6;10.2;45.2;0.21
KISS Mátyás;2024-25;Körmend;28;392;14.0;66;2.4;9.0;2;11;0.1;0.4;0.3;1.5;0.182;0;3;0.0;0.1;0.0;0.4;0.000;2;14;0.1;0.5;0.3;1.9;0.143;16;60;0.6;2.1;2.2;8.1;0.267;18;74;0.6;2.6;2.4;10.0;0.243;0.351;14;24;0.5;0.9;1.9;3.3;0.583;0.389;14.9;4.1;81.1;0.32
BALOGH Máté;2023-24;Alba Fehérvár;36;387;10.8;91;2.5;12.4;26;43;0.7;1.2;3.5;5.9;0.605;1;6;0.0;0.2;0.1;0.8;0.167;27;49;0.8;1.4;3.7;6.7;0.551;11;40;0.3;1.1;1.5;5.4;0.275;38;89;1.1;2.5;5.2;12.1;0.427;0.489;4;10;0.1;0.3;0.5;1.4;0.400;0.487;48.3;6.7;44.9;0.11
COHILL Eric;2023-24;Szedeák;35;387;11.1;103;2.9;13.8;23;42;0.7;1.2;3.1;5.6;0.548;0;2;0.0;0.1;0.0;0.3;0.000;23;44;0.7;1.3;3.1;5.9;0.523;14;43;0.4;1.2;1.9;5.8;0.326;37;87;1.1;2.5;5.0;11.7;0.425;0.506;15;17;0.4;0.5;2.0;2.3;0.882;0.544;48.3;2.3;49.4;0.20
REIZINGER Máté;2023-24;Bp. Honvéd;33;385;11.7;70;2.1;10.0;12;33;0.4;1.0;1.7;4.7;0.364;1;2;0.0;0.1;0.1;0.3;0.500;13;35;0.4;1.1;1.9;5.0;0.371;10;29;0.3;0.9;1.4;4.1;0.345;23;64;0.7;1.9;3.3;9.1;0.359;0.438;14;21;0.4;0.6;2.0;3.0;0.667;0.477;51.6;3.1;45.3;0.33
REIZINGER Máté;2024-25;Bp. Honvéd;32;385;12.0;109;3.4;15.7;29;53;0.9;1.7;4.2;7.6;0.547;2;6;0.1;0.2;0.3;0.9;0.333;31;59;1.0;1.8;4.5;8.5;0.525;13;39;0.4;1.2;1.9;5.6;0.333;44;98;1.4;3.1;6.3;14.1;0.449;0.515;8;11;0.3;0.3;1.2;1.6;0.727;0.529;54.1;6.1;39.8;0.11
Ray ONA EMBO;2023-24;ZTE;16;384;24.0;209;13.1;30.2;41;71;2.6;4.4;5.9;10.3;0.577;4;9;0.3;0.6;0.6;1.3;0.444;45;80;2.8;5.0;6.5;11.6;0.563;25;83;1.6;5.2;3.6;12.0;0.301;70;163;4.4;10.2;10.1;23.6;0.429;0.506;44;56;2.8;3.5;6.4;8.1;0.786;0.555;43.6;5.5;50.9;0.34
Tavarius SHINE;2022-23;Sopron;17;383;22.5;154;9.1;22.5;28;56;1.6;3.3;4.1;8.2;0.500;6;16;0.4;0.9;0.9;2.3;0.375;34;72;2.0;4.2;5.0;10.5;0.472;20;67;1.2;3.9;2.9;9.8;0.299;54;139;3.2;8.2;7.9;20.3;0.388;0.460;26;38;1.5;2.2;3.8;5.5;0.684;0.493;40.3;11.5;48.2;0.27
DOKTOR Péter;2023-24;Körmend;25;383;15.3;95;3.8;13.2;18;31;0.7;1.2;2.5;4.3;0.581;2;9;0.1;0.4;0.3;1.3;0.222;20;40;0.8;1.6;2.8;5.5;0.500;11;43;0.4;1.7;1.5;6.0;0.256;31;83;1.2;3.3;4.3;11.5;0.373;0.440;22;41;0.9;1.6;3.1;5.7;0.537;0.468;37.3;10.8;51.8;0.49
DOROGI Gergő;2022-23;Oroszlány;35;381;10.9;88;2.5;12.7;24;46;0.7;1.3;3.5;6.7;0.522;4;12;0.1;0.3;0.6;1.7;0.333;28;58;0.8;1.7;4.1;8.4;0.483;9;32;0.3;0.9;1.3;4.6;0.281;37;90;1.1;2.6;5.4;13.1;0.411;0.461;5;9;0.1;0.3;0.7;1.3;0.556;0.468;51.1;13.3;35.6;0.10
PERINGER Balázs;2023-24;Bp. Honvéd;31;381;12.3;76;2.5;11.0;29;53;0.9;1.7;4.2;7.7;0.547;1;4;0.0;0.1;0.1;0.6;0.250;30;57;1.0;1.8;4.3;8.2;0.526;0;0;0.0;0.0;0.0;0.0;;30;57;1.0;1.8;4.3;8.2;0.526;0.526;16;23;0.5;0.7;2.3;3.3;0.696;0.564;93.0;7.0;0.0;0.40
SZABADFI Márk;2023-24;Oroszlány;32;379;11.8;76;2.4;10.6;12;26;0.4;0.8;1.7;3.6;0.462;4;8;0.1;0.3;0.6;1.1;0.500;16;34;0.5;1.1;2.2;4.7;0.471;10;25;0.3;0.8;1.4;3.5;0.400;26;59;0.8;1.8;3.6;8.2;0.441;0.525;14;19;0.4;0.6;1.9;2.6;0.737;0.563;44.1;13.6;42.4;0.32
FRANK Áron;2024-25;PVSK;29;378;13.0;67;2.3;9.5;16;24;0.6;0.8;2.3;3.4;0.667;4;10;0.1;0.3;0.6;1.4;0.400;20;34;0.7;1.2;2.8;4.8;0.588;8;36;0.3;1.2;1.1;5.1;0.222;28;70;1.0;2.4;4.0;9.9;0.400;0.457;3;8;0.1;0.3;0.4;1.1;0.375;0.455;34.3;14.3;51.4;0.11
TANOH DEZ András;2024-25;Bp. Honvéd;15;377;25.1;167;11.1;24.2;52;83;3.5;5.5;7.5;12.0;0.627;1;7;0.1;0.5;0.1;1.0;0.143;53;90;3.5;6.0;7.7;13.0;0.589;9;35;0.6;2.3;1.3;5.1;0.257;62;125;4.1;8.3;9.0;18.1;0.496;0.532;34;50;2.3;3.3;4.9;7.2;0.680;0.566;66.4;5.6;28.0;0.40
TÓTH Barna;2024-25;Kecskemét;32;376;11.8;107;3.3;16.2;20;39;0.6;1.2;3.0;5.9;0.513;6;24;0.2;0.8;0.9;3.6;0.250;26;63;0.8;2.0;4.0;9.6;0.413;13;54;0.4;1.7;2.0;8.2;0.241;39;117;1.2;3.7;5.9;17.8;0.333;0.389;16;19;0.5;0.6;2.4;2.9;0.842;0.426;33.3;20.5;46.2;0.16
Vasilije BAĆOVIĆ;2024-25;NKA Pécs;15;376;25.1;178;11.9;25.6;58;85;3.9;5.7;8.3;12.2;0.682;2;3;0.1;0.2;0.3;0.4;0.667;60;88;4.0;5.9;8.6;12.7;0.682;8;22;0.5;1.5;1.2;3.2;0.364;68;110;4.5;7.3;9.8;15.8;0.618;0.655;34;45;2.3;3.0;4.9;6.5;0.756;0.683;77.3;2.7;20.0;0.41
TÓTH Barna;2023-24;Kecskemét;34;373;11.0;89;2.6;13.2;17;28;0.5;0.8;2.5;4.2;0.607;1;9;0.0;0.3;0.2;1.3;0.111;18;37;0.5;1.1;2.7;5.5;0.486;14;40;0.4;1.2;2.1;5.9;0.350;32;77;0.9;2.3;4.7;11.4;0.416;0.506;11;14;0.3;0.4;1.6;2.1;0.786;0.534;36.4;11.7;51.9;0.18
MUCZA Tamás;2022-23;Oroszlány;33;371;11.2;105;3.2;15.6;25;41;0.8;1.2;3.7;6.1;0.610;0;6;0.0;0.2;0.0;0.9;0.000;25;47;0.8;1.4;3.7;7.0;0.532;14;44;0.4;1.3;2.1;6.5;0.318;39;91;1.2;2.8;5.8;13.5;0.429;0.505;13;20;0.4;0.6;1.9;3.0;0.650;0.525;45.1;6.6;48.4;0.22
FAZEKAS Csaba;2024-25;Sopron;31;370;11.9;125;4.0;18.4;9;28;0.3;0.9;1.3;4.1;0.321;2;9;0.1;0.3;0.3;1.3;0.222;11;37;0.4;1.2;1.6;5.5;0.297;31;77;1.0;2.5;4.6;11.4;0.403;42;114;1.4;3.7;6.2;16.8;0.368;0.504;10;18;0.3;0.6;1.5;2.7;0.556;0.512;24.6;7.9;67.5;0.16
SIMON Kristóf;2023-24;Bp. Honvéd;19;369;19.4;93;4.9;13.9;12;28;0.6;1.5;1.8;4.2;0.429;1;3;0.1;0.2;0.2;0.5;0.333;13;31;0.7;1.6;1.9;4.6;0.419;15;46;0.8;2.4;2.2;6.9;0.326;28;77;1.5;4.1;4.2;11.5;0.364;0.461;22;29;1.2;1.5;3.3;4.3;0.759;0.516;36.4;3.9;59.7;0.38
Anthony DURHAM;2023-24;Szolnok;21;364;17.3;167;8.0;24.5;30;53;1.4;2.5;4.4;7.8;0.566;5;18;0.2;0.9;0.7;2.6;0.278;35;71;1.7;3.4;5.1;10.4;0.493;25;79;1.2;3.8;3.7;11.6;0.316;60;150;2.9;7.1;8.8;22.0;0.400;0.483;22;29;1.0;1.4;3.2;4.3;0.759;0.512;35.3;12.0;52.7;0.19
TAIWO Samuel;2022-23;Atomerőmű SE;29;362;12.5;101;3.5;15.3;41;70;1.4;2.4;6.2;10.6;0.586;0;8;0.0;0.3;0.0;1.2;0.000;41;78;1.4;2.7;6.2;11.8;0.526;0;1;0.0;0.0;0.0;0.2;0.000;41;79;1.4;2.7;6.2;11.9;0.519;0.519;19;27;0.7;0.9;2.9;4.1;0.704;0.554;88.6;10.1;1.3;0.34
SITKU Márton;2023-24;Sopron;33;360;10.9;92;2.8;13.9;16;37;0.5;1.1;2.4;5.6;0.432;0;3;0.0;0.1;0.0;0.5;0.000;16;40;0.5;1.2;2.4;6.0;0.400;10;49;0.3;1.5;1.5;7.4;0.204;26;89;0.8;2.7;3.9;13.4;0.292;0.348;30;37;0.9;1.1;4.5;5.6;0.811;0.435;41.6;3.4;55.1;0.42
Milan LUŽAIĆ;2023-24;NKA Pécs;14;360;25.7;158;11.3;23.2;15;36;1.1;2.6;2.2;5.3;0.417;9;24;0.6;1.7;1.3;3.5;0.375;24;60;1.7;4.3;3.5;8.8;0.400;26;85;1.9;6.1;3.8;12.5;0.306;50;145;3.6;10.4;7.3;21.3;0.345;0.434;32;41;2.3;2.9;4.7;6.0;0.780;0.483;24.8;16.6;58.6;0.28
GARAMVÖLGYI Ákos;2024-25;DEAC;30;360;12.0;71;2.4;11.0;15;40;0.5;1.3;2.3;6.2;0.375;2;4;0.1;0.1;0.3;0.6;0.500;17;44;0.6;1.5;2.6;6.8;0.386;11;45;0.4;1.5;1.7;7.0;0.244;28;89;0.9;3.0;4.3;13.7;0.315;0.376;4;7;0.1;0.2;0.6;1.1;0.571;0.385;44.9;4.5;50.6;0.08
Aleksandar SOKOLOVIĆ;2024-25;Bp. Honvéd;13;356;27.4;117;9.0;17.9;32;64;2.5;4.9;4.9;9.8;0.500;4;16;0.3;1.2;0.6;2.4;0.250;36;80;2.8;6.2;5.5;12.2;0.450;10;41;0.8;3.2;1.5;6.3;0.244;46;121;3.5;9.3;7.0;18.5;0.380;0.421;15;22;1.2;1.7;2.3;3.4;0.682;0.447;52.9;13.2;33.9;0.18
KRIVACSEVICS Markó;2023-24;Falco KC;33;349;10.6;147;4.5;22.7;57;103;1.7;3.1;8.8;15.9;0.553;4;9;0.1;0.3;0.6;1.4;0.444;61;112;1.8;3.4;9.4;17.3;0.545;0;1;0.0;0.0;0.0;0.2;0.000;61;113;1.8;3.4;9.4;17.4;0.540;0.540;25;46;0.8;1.4;3.9;7.1;0.543;0.550;91.2;8.0;0.9;0.41
KOVÁCS Benedek;2023-24;Falco KC;29;348;12.0;110;3.8;17.1;21;37;0.7;1.3;3.3;5.7;0.568;0;1;0.0;0.0;0.0;0.2;0.000;21;38;0.7;1.3;3.3;5.9;0.553;19;49;0.7;1.7;3.0;7.6;0.388;40;87;1.4;3.0;6.2;13.5;0.460;0.569;11;14;0.4;0.5;1.7;2.2;0.786;0.589;42.5;1.1;56.3;0.16
ILLÉS Máté;2023-24;Oroszlány;29;347;12.0;92;3.2;13.8;8;28;0.3;1.0;1.2;4.2;0.286;4;11;0.1;0.4;0.6;1.7;0.364;12;39;0.4;1.3;1.8;5.8;0.308;21;63;0.7;2.2;3.1;9.4;0.333;33;102;1.1;3.5;4.9;15.3;0.324;0.426;5;12;0.2;0.4;0.8;1.8;0.417;0.428;27.5;10.8;61.8;0.12
Aleksa NOVAKOVIĆ;2024-25;Falco KC;21;346;16.5;138;6.6;21.9;25;40;1.2;1.9;4.0;6.3;0.625;2;6;0.1;0.3;0.3;1.0;0.333;27;46;1.3;2.2;4.3;7.3;0.587;25;58;1.2;2.8;4.0;9.2;0.431;52;104;2.5;5.0;8.2;16.5;0.500;0.620;9;12;0.4;0.6;1.4;1.9;0.750;0.631;38.5;5.8;55.8;0.12
Matt TIBY;2024-25;Falco KC;15;345;23.0;194;12.9;31.0;43;54;2.9;3.6;6.9;8.6;0.796;5;8;0.3;0.5;0.8;1.3;0.625;48;62;3.2;4.1;7.7;9.9;0.774;19;45;1.3;3.0;3.0;7.2;0.422;67;107;4.5;7.1;10.7;17.1;0.626;0.715;41;48;2.7;3.2;6.5;7.7;0.854;0.754;50.5;7.5;42.1;0.45
NEUWIRTH Bence;2023-24;DEAC;27;343;12.7;79;2.9;13.1;3;8;0.1;0.3;0.5;1.3;0.375;0;3;0.0;0.1;0.0;0.5;0.000;3;11;0.1;0.4;0.5;1.8;0.273;24;62;0.9;2.3;4.0;10.2;0.387;27;73;1.0;2.7;4.5;12.1;0.370;0.534;1;3;0.0;0.1;0.2;0.5;0.333;0.531;11.0;4.1;84.9;0.04
RADÓ Ádám;2024-25;PVSK;27;341;12.6;115;4.3;18.1;37;76;1.4;2.8;5.8;12.0;0.487;2;3;0.1;0.1;0.3;0.5;0.667;39;79;1.4;2.9;6.1;12.4;0.494;2;6;0.1;0.2;0.3;0.9;0.333;41;85;1.5;3.1;6.5;13.4;0.482;0.494;31;45;1.1;1.7;4.9;7.1;0.689;0.546;89.4;3.5;7.1;0.53
GARAMVÖLGYI Ákos;2022-23;DEAC;20;340;17.0;92;4.6;15.3;22;43;1.1;2.2;3.7;7.2;0.512;4;9;0.2;0.5;0.7;1.5;0.444;26;52;1.3;2.6;4.3;8.7;0.500;11;27;0.6;1.4;1.8;4.5;0.407;37;79;1.9;4.0;6.2;13.2;0.468;0.538;7;14;0.4;0.7;1.2;2.3;0.500;0.539;54.4;11.4;34.2;0.18
HALMAI Dániel;2022-23;Kaposvár;31;339;10.9;77;2.5;12.4;12;21;0.4;0.7;1.9;3.4;0.571;6;7;0.2;0.2;1.0;1.1;0.857;18;28;0.6;0.9;2.9;4.5;0.643;9;27;0.3;0.9;1.5;4.3;0.333;27;55;0.9;1.8;4.3;8.8;0.491;0.573;14;18;0.5;0.6;2.3;2.9;0.778;0.610;38.2;12.7;49.1;0.33
SUPOLA Zoltán;2022-23;Sopron;33;338;10.2;92;2.8;15.3;18;42;0.5;1.3;3.0;7.0;0.429;0;1;0.0;0.0;0.0;0.2;0.000;18;43;0.5;1.3;3.0;7.1;0.419;15;45;0.5;1.4;2.5;7.5;0.333;33;88;1.0;2.7;5.5;14.6;0.375;0.460;11;12;0.3;0.4;1.8;2.0;0.917;0.493;47.7;1.1;51.1;0.14
