Játékos;Szezon;Csapat;G;Min;Min PG;PTS;PTS PG;PTS 100;Close made;Close att.;Close made PG;Close att. PG;Close made 100;Close att. 100;Close %;Mid. made;Mid. att.;Mid. made PG;Mid. att. PG;Mid. made 100;Mid. att. 100;Mid. %;2P made;2P att.;2P made PG;2P att. PG;2P made 100;2P att. 100;2P%;3P made;3P att.;3P made PG;3P att. PG;3P made 100;3P att. 100;3P%;FG made;FG att.;FG made PG;FG att. PG;FG made 100;FG att. 100;FG%;EFG%;FT made;FT att.;FT made PG;FT att. PG;FT made 100;FT att. 100;FT%;TS%;Close att. rate;Mid. att. rate;3P att. rate;FT rate
ZSÍROS Péter;2024-25;Szedeák;36;760;21.1;217;6.0;16.0;14;19;0.4;0.5;1.0;1.4;0.737;3;8;0.1;0.2;0.2;0.6;0.375;17;27;0.5;0.8;1.3;2.0;0.630;60;172;1.7;4.8;4.4;12.7;0.349;77;199;2.1;5.5;5.7;14.6;0.387;0.538;3;5;0.1;0.1;0.2;0.4;0.600;0.539;9.5;4.0;86.4;0.03
Matt FREEMAN;2024-25;Bp. Honvéd;26;759;29.2;269;10.3;19.5;42;75;1.6;2.9;3.0;5.4;0.560;3;12;0.1;0.5;0.2;0.9;0.250;45;87;1.7;3.3;3.3;6.3;0.517;49;145;1.9;5.6;3.6;10.5;0.338;94;232;3.6;8.9;6.8;16.8;0.405;0.511;32;46;1.2;1.8;2.3;3.3;0.696;0.532;32.3;5.2;62.5;0.20
Demajeo WIGGINS;2023-24;Szolnok;30;755;25.2;422;14.1;30.0;153;248;5.1;8.3;10.9;17.6;0.617;4;15;0.1;0.5;0.3;1.1;0.267;157;263;5.2;8.8;11.2;18.7;0.597;0;4;0.0;0.1;0.0;0.3;0.000;157;267;5.2;8.9;11.2;19.0;0.588;0.588;108;197;3.6;6.6;7.7;14.0;0.548;0.593;92.9;5.6;1.5;0.74
De'Quon LAKE;2024-25;Atomerőmű SE;33;755;22.9;303;9.2;21.8;122;175;3.7;5.3;8.8;12.6;0.697;1;3;0.0;0.1;0.1;0.2;0.333;123;178;3.7;5.4;8.8;12.8;0.691;0;4;0.0;0.1;0.0;0.3;0.000;123;182;3.7;5.5;8.8;13.1;0.676;0.676;57;82;1.7;2.5;4.1;5.9;0.695;0.692;96.2;1.6;2.2;0.45
Denis KRESTININ;2022-23;Oroszlány;35;754;21.5;280;8.0;20.6;90;142;2.6;4.1;6.6;10.4;0.634;5;18;0.1;0.5;0.4;1.3;0.278;95;160;2.7;4.6;7.0;11.7;0.594;0;7;0.0;0.2;0.0;0.5;0.000;95;167;2.7;4.8;7.0;12.3;0.569;0.569;90;140;2.6;4.0;6.6;10.3;0.643;0.609;85.0;10.8;4.2;0.84
OMENAKA Godwin;2022-23;Körmend;38;751;19.8;348;9.2;25.1;143;196;3.8;5.2;10.3;14.1;0.730;6;24;0.2;0.6;0.4;1.7;0.250;149;220;3.9;5.8;10.7;15.8;0.677;0;1;0.0;0.0;0.0;0.1;0.000;149;221;3.9;5.8;10.7;15.9;0.674;0.674;50;96;1.3;2.5;3.6;6.9;0.521;0.659;88.7;10.9;0.5;0.43
BOGNÁR Kristóf;2024-25;Falco KC;36;751;20.9;306;8.5;22.4;95;164;2.6;4.6;7.0;12.0;0.579;7;21;0.2;0.6;0.5;1.5;0.333;102;185;2.8;5.1;7.5;13.5;0.551;14;46;0.4;1.3;1.0;3.4;0.304;116;231;3.2;6.4;8.5;16.9;0.502;0.532;60;88;1.7;2.4;4.4;6.4;0.682;0.565;71.0;9.1;19.9;0.38
Nikola DJOGO;2023-24;Körmend;28;750;26.8;350;12.5;25.1;82;148;2.9;5.3;5.9;10.6;0.554;7;19;0.3;0.7;0.5;1.4;0.368;89;167;3.2;6.0;6.4;12.0;0.533;31;102;1.1;3.6;2.2;7.3;0.304;120;269;4.3;9.6;8.6;19.3;0.446;0.504;79;99;2.8;3.5;5.7;7.1;0.798;0.558;55.0;7.1;37.9;0.37
Sebastian ÅRIS;2022-23;Kaposvár;23;743;32.3;350;15.2;25.5;46;86;2.0;3.7;3.4;6.3;0.535;15;31;0.7;1.3;1.1;2.3;0.484;61;117;2.7;5.1;4.4;8.5;0.521;56;138;2.4;6.0;4.1;10.1;0.406;117;255;5.1;11.1;8.5;18.6;0.459;0.569;60;63;2.6;2.7;4.4;4.6;0.952;0.618;33.7;12.2;54.1;0.25
IVKOVICS Milán;2023-24;Kecskemét;36;740;20.6;144;4.0;10.7;31;56;0.9;1.6;2.3;4.2;0.554;5;12;0.1;0.3;0.4;0.9;0.417;36;68;1.0;1.9;2.7;5.1;0.529;18;92;0.5;2.6;1.3;6.9;0.196;54;160;1.5;4.4;4.0;12.0;0.338;0.394;18;31;0.5;0.9;1.3;2.3;0.581;0.414;35.0;7.5;57.5;0.19
Nemanja NIKOLIĆ;2024-25;NKA Pécs;27;737;27.3;325;12.0;24.0;57;105;2.1;3.9;4.2;7.8;0.543;16;52;0.6;1.9;1.2;3.9;0.308;73;157;2.7;5.8;5.4;11.6;0.465;35;109;1.3;4.0;2.6;8.1;0.321;108;266;4.0;9.9;8.0;19.7;0.406;0.472;74;91;2.7;3.4;5.5;6.7;0.813;0.529;39.5;19.5;41.0;0.34
Taz SHERMAN;2022-23;Bp. Honvéd;25;731;29.2;394;15.8;29.1;60;130;2.4;5.2;4.4;9.6;0.462;13;36;0.5;1.4;1.0;2.7;0.361;73;166;2.9;6.6;5.4;12.3;0.440;64;154;2.6;6.2;4.7;11.4;0.416;137;320;5.5;12.8;10.1;23.6;0.428;0.528;56;68;2.2;2.7;4.1;5.0;0.824;0.562;40.6;11.3;48.1;0.21
Jeriah HORNE;2024-25;Alba Fehérvár;25;731;29.2;321;12.8;23.7;54;85;2.2;3.4;4.0;6.3;0.635;5;20;0.2;0.8;0.4;1.5;0.250;59;105;2.4;4.2;4.4;7.8;0.562;54;141;2.2;5.6;4.0;10.4;0.383;113;246;4.5;9.8;8.4;18.2;0.459;0.569;41;49;1.6;2.0;3.0;3.6;0.837;0.599;34.6;8.1;57.3;0.20
Boris BARAĆ;2022-23;Falco KC;35;730;20.9;351;10.0;26.4;106;196;3.0;5.6;8.0;14.8;0.541;13;31;0.4;0.9;1.0;2.3;0.419;119;227;3.4;6.5;9.0;17.1;0.524;7;29;0.2;0.8;0.5;2.2;0.241;126;256;3.6;7.3;9.5;19.3;0.492;0.506;92;118;2.6;3.4;6.9;8.9;0.780;0.568;76.6;12.1;11.3;0.46
KUCSERA Dániel;2024-25;Sopron;31;730;23.5;220;7.1;16.5;28;50;0.9;1.6;2.1;3.8;0.560;2;10;0.1;0.3;0.2;0.8;0.200;30;60;1.0;1.9;2.3;4.5;0.500;42;128;1.4;4.1;3.2;9.6;0.328;72;188;2.3;6.1;5.4;14.1;0.383;0.495;34;44;1.1;1.4;2.6;3.3;0.773;0.529;26.6;5.3;68.1;0.23
Miloš GRUBOR;2024-25;Bp. Honvéd;26;729;28.1;347;13.3;26.1;29;61;1.1;2.3;2.2;4.6;0.475;13;38;0.5;1.5;1.0;2.9;0.342;42;99;1.6;3.8;3.2;7.5;0.424;74;191;2.8;7.3;5.6;14.4;0.387;116;290;4.5;11.2;8.7;21.8;0.400;0.528;41;52;1.6;2.0;3.1;3.9;0.788;0.554;21.0;13.1;65.9;0.18
KOVÁCS Benedek;2022-23;Falco KC;37;728;19.7;205;5.5;15.5;44;68;1.2;1.8;3.3;5.1;0.647;4;8;0.1;0.2;0.3;0.6;0.500;48;76;1.3;2.1;3.6;5.7;0.632;30;87;0.8;2.4;2.3;6.6;0.345;78;163;2.1;4.4;5.9;12.3;0.479;0.571;19;25;0.5;0.7;1.4;1.9;0.760;0.588;41.7;4.9;53.4;0.15
PONGÓ Marcell;2023-24;Falco KC;36;728;20.2;288;8.0;21.2;41;70;1.1;1.9;3.0;5.2;0.586;5;13;0.1;0.4;0.4;1.0;0.385;46;83;1.3;2.3;3.4;6.1;0.554;55;128;1.5;3.6;4.1;9.4;0.430;101;211;2.8;5.9;7.4;15.6;0.479;0.609;31;47;0.9;1.3;2.3;3.5;0.660;0.620;33.2;6.2;60.7;0.22
LUKÁCS Norbert;2022-23;Szolnok;31;727;23.5;273;8.8;21.1;68;110;2.2;3.5;5.3;8.5;0.618;2;8;0.1;0.3;0.2;0.6;0.250;70;118;2.3;3.8;5.4;9.1;0.593;29;90;0.9;2.9;2.2;7.0;0.322;99;208;3.2;6.7;7.7;16.1;0.476;0.546;46;60;1.5;1.9;3.6;4.6;0.767;0.581;52.9;3.8;43.3;0.29
PONGÓ Máté;2023-24;Szolnok;37;727;19.6;239;6.5;17.6;35;70;0.9;1.9;2.6;5.2;0.500;3;18;0.1;0.5;0.2;1.3;0.167;38;88;1.0;2.4;2.8;6.5;0.432;47;105;1.3;2.8;3.5;7.8;0.448;85;193;2.3;5.2;6.3;14.2;0.440;0.562;22;33;0.6;0.9;1.6;2.4;0.667;0.575;36.3;9.3;54.4;0.17
Mike SCOTT;2022-23;DEAC;28;723;25.8;265;9.5;20.6;60;127;2.1;4.5;4.7;9.9;0.472;22;56;0.8;2.0;1.7;4.4;0.393;82;183;2.9;6.5;6.4;14.2;0.448;26;64;0.9;2.3;2.0;5.0;0.406;108;247;3.9;8.8;8.4;19.2;0.437;0.490;23;27;0.8;1.0;1.8;2.1;0.852;0.511;51.4;22.7;25.9;0.11
